controller=global horizon=10 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, 4.00000e+00, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, 4.00000e+00, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, 4.00000e+00, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00719e+01, 2.11750e-01, 2.11750e-01, 4.00000e+00, 3.57143e-01, 4.72104e-02
4, 18, 2.27928e-01, 1.00553e+01, 2.34974e-01, 2.34974e-01, 4.00000e+00, 2.22222e-01, 7.39891e-02
5, 21, 2.65915e-01, 1.00516e+01, 2.46586e-01, 2.46586e-01, 4.00000e+00, 1.42857e-01, 9.51849e-02
6, 26, 3.29229e-01, 1.00343e+01, 3.30515e-01, 3.30515e-01, 4.00000e+00, 1.92308e-01, 1.31955e-01
7, 31, 3.92542e-01, 1.00292e+01, 0.00000e+00, 0.00000e+00, -6.00000e+00, 1.61290e-01, 1.63920e-01
8, 33, 4.17867e-01, 1.00477e+01, 4.11799e-01, 4.11799e-01, -6.00000e+00, 6.06061e-02, 1.93399e-01
9, 38, 4.81180e-01, 1.00420e+01, 4.93082e-01, 4.93082e-01, -6.00000e+00, 1.31579e-01, 1.86768e-01
10, 41, 5.19168e-01, 1.00476e+01, 5.04694e-01, 5.04694e-01, -6.00000e+00, 7.31707e-02, 1.98666e-01
11, 45, 5.69819e-01, 1.00416e+01, 5.27918e-01, 5.27918e-01, -6.00000e+00, 8.88889e-02, 1.92566e-01
12, 51, 6.45795e-01, 1.00353e+01, 7.02097e-01, 7.02097e-01, -6.00000e+00, 1.17647e-01, 1.94662e-01
13, 56, 7.09108e-01, 1.00256e+01, 7.60156e-01, 7.60156e-01, -6.00000e+00, 8.92857e-02, 2.02585e-01
14, 60, 7.59758e-01, 1.00309e+01, 0.00000e+00, 0.00000e+00, -8.00000e+00, 6.66667e-02, 2.22146e-01
15, 66, 8.35734e-01, 1.00133e+01, 9.22723e-01, 9.22723e-01, -8.00000e+00, 9.09091e-02, 2.26472e-01
16, 69, 8.73722e-01, 1.00224e+01, 9.34335e-01, 9.34335e-01, -8.00000e+00, 4.34783e-02, 2.78958e-01
17, 73, 9.24373e-01, 1.00162e+01, 9.80783e-01, 9.80783e-01, -8.00000e+00, 5.47945e-02, 2.65951e-01
18, 79, 1.00035e+00, 9.99225e+00, 1.17819e+00, 1.17819e+00, -8.00000e+00, 7.59494e-02, 2.54185e-01
19, 83, 1.05100e+00, 9.97988e+00, 1.15496e+00, 1.15496e+00, -8.00000e+00, 4.81928e-02, 2.94830e-01
20, 87, 1.10165e+00, 9.96582e+00, 1.28269e+00, 1.28269e+00, -8.00000e+00, 5.74713e-02, 2.66225e-01
21, 92, 1.16496e+00, 9.96491e+00, 0.00000e+00, 0.00000e+00, 6.00000e+00, 6.52174e-02, 3.27261e-01
22, 96, 1.21561e+00, 9.96818e+00, 1.21302e+00, 1.21302e+00, 6.00000e+00, 6.25000e-02, 3.43158e-01
23, 101, 1.27893e+00, 9.94627e+00, 1.43638e+00, 1.43638e+00, 6.00000e+00, 6.93069e-02, 3.06401e-01
24, 105, 1.32958e+00, 9.94551e+00, 1.44800e+00, 1.44800e+00, 6.00000e+00, 5.71429e-02, 3.24320e-01
25, 108, 1.36757e+00, 9.93312e+00, 1.47122e+00, 1.47122e+00, 6.00000e+00, 7.40741e-02, 3.54341e-01
26, 111, 1.40555e+00, 9.93495e+00, 1.33188e+00, 1.33188e+00, 6.00000e+00, 7.20721e-02, 3.22560e-01
27, 116, 1.46887e+00, 9.92454e+00, 1.36671e+00, 1.36671e+00, 6.00000e+00, 1.12069e-01, 3.65604e-01
28, 120, 1.51952e+00, 9.92766e+00, 0.00000e+00, 0.00000e+00, -5.60000e+01, 6.66667e-02, 3.94986e-01
29, 124, 1.57017e+00, 9.93277e+00, 1.25059e+00, 1.25059e+00, -5.60000e+01, 6.45161e-02, 3.69672e-01
30, 127, 1.60816e+00, 9.93502e+00, 1.43638e+00, 1.43638e+00, -5.60000e+01, 5.51181e-02, 3.91965e-01
31, 130, 1.64614e+00, 9.93805e+00, 1.57573e+00, 1.57573e+00, -5.60000e+01, 5.38462e-02, 3.77336e-01
32, 136, 1.72212e+00, 9.93592e+00, 1.62217e+00, 1.62217e+00, -5.60000e+01, 7.35294e-02, 4.23922e-01
33, 139, 1.76011e+00, 9.95183e+00, 1.85441e+00, 1.85441e+00, -5.60000e+01, 7.19424e-02, 4.54858e-01
34, 144, 1.82342e+00, 9.94744e+00, 1.84280e+00, 1.84280e+00, -5.60000e+01, 8.33333e-02, 3.97259e-01
35, 149, 1.88673e+00, 9.93814e+00, 0.00000e+00, 0.00000e+00, -8.00000e+00, 6.71141e-02, 4.54459e-01
36, 153, 1.93738e+00, 9.93124e+00, 2.07470e+00, 2.07470e+00, -8.00000e+00, 6.53595e-02, 4.45744e-01
37, 158, 2.00070e+00, 9.92545e+00, 2.31855e+00, 2.31855e+00, -8.00000e+00, 6.96203e-02, 4.45896e-01
38, 161, 2.03868e+00, 9.92828e+00, 2.22301e+00, 2.22301e+00, -8.00000e+00, 6.83230e-02, 4.54844e-01
39, 165, 2.08934e+00, 9.91350e+00, 2.24623e+00, 2.24623e+00, -8.00000e+00, 8.48485e-02, 4.58886e-01
40, 169, 2.13999e+00, 9.90835e+00, 2.47847e+00, 2.47847e+00, -8.00000e+00, 7.69231e-02, 4.44542e-01
41, 176, 2.22862e+00, 9.87345e+00, 2.45525e+00, 2.45525e+00, -8.00000e+00, 1.19318e-01, 4.82467e-01
42, 180, 2.27928e+00, 9.86257e+00, 0.00000e+00, 0.00000e+00, -4.20000e+01, 7.22222e-02, 4.93988e-01
43, 184, 2.32993e+00, 9.85339e+00, 1.95858e+00, 1.95858e+00, -4.20000e+01, 8.15217e-02, 4.83428e-01
44, 188, 2.38058e+00, 9.85122e+00, 2.01664e+00, 2.01664e+00, -4.20000e+01, 9.04255e-02, 4.81382e-01
45, 191, 2.41856e+00, 9.85486e+00, 1.97019e+00, 1.97019e+00, -4.20000e+01, 9.42408e-02, 5.30205e-01
46, 195, 2.46921e+00, 9.84078e+00, 1.90052e+00, 1.90052e+00, -4.20000e+01, 1.02564e-01, 5.27842e-01
47, 198, 2.50720e+00, 9.82616e+00, 2.08256e+00, 2.08256e+00, -4.20000e+01, 1.06061e-01, 5.14724e-01
48, 201, 2.54519e+00, 9.79638e+00, 2.10579e+00, 2.10579e+00, -4.20000e+01, 1.14428e-01, 5.41185e-01
49, 205, 2.59584e+00, 9.79347e+00, 0.00000e+00, 0.00000e+00, -3.60000e+01, 9.26829e-02, 5.63820e-01
50, 210, 2.65915e+00, 9.81044e+00, 2.29158e+00, 2.29158e+00, -3.60000e+01, 1.04762e-01, 5.94333e-01
51, 212, 2.68448e+00, 9.79193e+00, 2.01289e+00, 2.01289e+00, -3.60000e+01, 1.13208e-01, 5.26005e-01
52, 217, 2.74779e+00, 9.79198e+00, 2.09486e+00, 2.09486e+00, -3.60000e+01, 1.19816e-01, 6.04495e-01
53, 221, 2.79844e+00, 9.78335e+00, 2.47805e+00, 2.47805e+00, -3.60000e+01, 1.17647e-01, 5.73389e-01
54, 223, 2.82377e+00, 9.78315e+00, 2.52450e+00, 2.52450e+00, -3.60000e+01, 1.03139e-01, 6.08425e-01
55, 227, 2.87442e+00, 9.77557e+00, 2.22599e+00, 2.22599e+00, -3.60000e+01, 1.32159e-01, 6.51108e-01
56, 231, 2.92507e+00, 9.76534e+00, 0.00000e+00, 0.00000e+00, -2.80000e+01, 9.09091e-02, 6.15782e-01
57, 234, 2.96306e+00, 9.77565e+00, 2.27210e+00, 2.27210e+00, -2.80000e+01, 8.54701e-02, 6.32566e-01
58, 238, 3.01371e+00, 9.75177e+00, 1.99342e+00, 1.99342e+00, -2.80000e+01, 9.24370e-02, 6.37579e-01
59, 241, 3.05170e+00, 9.73003e+00, 2.10953e+00, 2.10953e+00, -2.80000e+01, 9.54357e-02, 6.17895e-01
60, 244, 3.08968e+00, 9.72634e+00, 1.98180e+00, 1.98180e+00, -2.80000e+01, 1.06557e-01, 6.15105e-01
61, 248, 3.14033e+00, 9.71929e+00, 2.05147e+00, 2.05147e+00, -2.80000e+01, 1.41129e-01, 5.99086e-01
62, 253, 3.20365e+00, 9.69950e+00, 2.22565e+00, 2.22565e+00, -2.80000e+01, 1.77866e-01, 6.42395e-01
63, 256, 3.24164e+00, 9.62878e+00, 0.00000e+00, 0.00000e+00, -3.20000e+01, 1.17188e-01, 5.92719e-01
64, 259, 3.27962e+00, 9.63936e+00, 2.13344e+00, 2.13344e+00, -3.20000e+01, 1.11969e-01, 6.39433e-01
65, 263, 3.33027e+00, 9.62583e+00, 2.20311e+00, 2.20311e+00, -3.20000e+01, 1.21673e-01, 6.59737e-01
66, 267, 3.38092e+00, 9.60043e+00, 2.57469e+00, 2.57469e+00, -3.20000e+01, 1.31086e-01, 6.61252e-01
67, 271, 3.43158e+00, 9.61353e+00, 2.83015e+00, 2.83015e+00, -3.20000e+01, 1.43911e-01, 7.83051e-01
68, 274, 3.46956e+00, 9.63257e+00, 3.35269e+00, 3.35269e+00, -3.20000e+01, 1.71533e-01, 7.44817e-01
69, 277, 3.50755e+00, 9.62161e+00, 3.19866e+00, 3.19866e+00, -3.20000e+01, 2.02166e-01, 7.71056e-01
70, 280, 3.54554e+00, 9.63638e+00, 0.00000e+00, 0.00000e+00, -2.20000e+01, 1.32143e-01, 7.14397e-01
71, 282, 3.57086e+00, 9.66321e+00, 3.13795e+00, 3.13795e+00, -2.20000e+01, 1.20567e-01, 7.09966e-01
72, 287, 3.63418e+00, 9.62866e+00, 3.27730e+00, 3.27730e+00, -2.20000e+01, 1.32404e-01, 6.39613e-01
73, 291, 3.68483e+00, 9.64166e+00, 3.14957e+00, 3.14957e+00, -2.20000e+01, 1.51203e-01, 8.04232e-01
74, 294, 3.72282e+00, 9.63379e+00, 2.74315e+00, 2.74315e+00, -2.20000e+01, 1.53061e-01, 7.77524e-01
75, 299, 3.78613e+00, 9.61674e+00, 2.85927e+00, 2.85927e+00, -2.20000e+01, 1.77258e-01, 7.71210e-01
76, 302, 3.82412e+00, 9.61170e+00, 3.01910e+00, 3.01910e+00, -2.20000e+01, 1.95364e-01, 7.62929e-01
