controller=global horizon=2 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, 4.00000e+00, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, 4.00000e+00, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, 4.00000e+00, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00713e+01, 1.76914e-01, 1.76914e-01, 4.00000e+00, 3.57143e-01, 4.61628e-02
4, 18, 2.27928e-01, 1.00556e+01, 2.23362e-01, 2.23362e-01, 4.00000e+00, 2.22222e-01, 7.58535e-02
5, 21, 2.65915e-01, 1.00504e+01, 2.34974e-01, 2.34974e-01, 4.00000e+00, 1.42857e-01, 9.09532e-02
6, 26, 3.29229e-01, 1.00341e+01, 2.69810e-01, 2.69810e-01, 4.00000e+00, 1.92308e-01, 1.31895e-01
7, 31, 3.92542e-01, 1.00299e+01, 0.00000e+00, 0.00000e+00, -6.00000e+00, 1.61290e-01, 1.69542e-01
8, 34, 4.30530e-01, 1.00363e+01, 3.39481e-01, 3.39481e-01, -6.00000e+00, 8.82353e-02, 1.82083e-01
9, 38, 4.81180e-01, 1.00411e+01, 3.85929e-01, 3.85929e-01, -6.00000e+00, 1.05263e-01, 1.96572e-01
10, 41, 5.19168e-01, 1.00447e+01, 3.74317e-01, 3.74317e-01, -6.00000e+00, 7.31707e-02, 1.85152e-01
11, 46, 5.82481e-01, 1.00383e+01, 4.09153e-01, 4.09153e-01, -6.00000e+00, 1.08696e-01, 2.05825e-01
12, 52, 6.58457e-01, 1.00271e+01, 4.78824e-01, 4.78824e-01, -6.00000e+00, 1.15385e-01, 2.04921e-01
13, 56, 7.09108e-01, 1.00252e+01, 5.25272e-01, 5.25272e-01, -6.00000e+00, 7.14286e-02, 2.30545e-01
14, 61, 7.72421e-01, 1.00209e+01, 0.00000e+00, 0.00000e+00, -8.00000e+00, 8.19672e-02, 2.12469e-01
15, 65, 8.23072e-01, 1.00171e+01, 6.99451e-01, 6.99451e-01, -8.00000e+00, 6.15385e-02, 2.38888e-01
16, 70, 8.86385e-01, 1.00184e+01, 7.80734e-01, 7.80734e-01, -8.00000e+00, 7.14286e-02, 2.64952e-01
17, 74, 9.37035e-01, 1.00075e+01, 8.03958e-01, 8.03958e-01, -8.00000e+00, 5.40541e-02, 2.50985e-01
18, 79, 1.00035e+00, 9.99085e+00, 8.50406e-01, 8.50406e-01, -8.00000e+00, 6.32911e-02, 2.91049e-01
19, 83, 1.05100e+00, 9.96803e+00, 8.38794e-01, 8.38794e-01, -8.00000e+00, 4.81928e-02, 2.60576e-01
20, 87, 1.10165e+00, 9.96934e+00, 9.20077e-01, 9.20077e-01, -8.00000e+00, 4.59770e-02, 2.94581e-01
21, 92, 1.16496e+00, 9.95624e+00, 0.00000e+00, 0.00000e+00, -1.00000e+01, 5.43478e-02, 3.24647e-01
22, 96, 1.21561e+00, 9.95646e+00, 8.96853e-01, 8.96853e-01, -1.00000e+01, 5.20833e-02, 3.15383e-01
23, 101, 1.27893e+00, 9.93010e+00, 1.02732e+00, 1.02732e+00, -1.00000e+01, 7.92079e-02, 3.04804e-01
24, 105, 1.32958e+00, 9.91239e+00, 1.20150e+00, 1.20150e+00, -1.00000e+01, 7.61905e-02, 3.29975e-01
25, 108, 1.36757e+00, 9.89437e+00, 1.17827e+00, 1.17827e+00, -1.00000e+01, 1.01852e-01, 3.41139e-01
26, 110, 1.39289e+00, 9.89807e+00, 1.05054e+00, 1.05054e+00, -1.00000e+01, 8.18182e-02, 3.26582e-01
27, 115, 1.45620e+00, 9.87785e+00, 1.08538e+00, 1.08538e+00, -1.00000e+01, 1.21739e-01, 3.35801e-01
28, 119, 1.50685e+00, 9.88605e+00, 0.00000e+00, 0.00000e+00, -4.00000e+01, 8.40336e-02, 3.41630e-01
29, 123, 1.55750e+00, 9.88544e+00, 1.29439e+00, 1.29439e+00, -4.00000e+01, 8.94309e-02, 3.79069e-01
30, 127, 1.60816e+00, 9.88993e+00, 1.41051e+00, 1.41051e+00, -4.00000e+01, 8.66142e-02, 4.15441e-01
31, 131, 1.65881e+00, 9.89369e+00, 1.48018e+00, 1.48018e+00, -4.00000e+01, 8.39695e-02, 4.30618e-01
32, 136, 1.72212e+00, 9.88025e+00, 1.57308e+00, 1.57308e+00, -4.00000e+01, 1.02941e-01, 4.18885e-01
33, 140, 1.77277e+00, 9.87668e+00, 1.58469e+00, 1.58469e+00, -4.00000e+01, 1.07143e-01, 4.18251e-01
34, 145, 1.83608e+00, 9.86775e+00, 1.66598e+00, 1.66598e+00, -4.00000e+01, 1.17241e-01, 4.21355e-01
35, 150, 1.89940e+00, 9.88102e+00, 0.00000e+00, 0.00000e+00, -1.60000e+01, 7.33333e-02, 4.77630e-01
36, 154, 1.95005e+00, 9.88405e+00, 1.93305e+00, 1.93305e+00, -1.60000e+01, 7.14286e-02, 4.36133e-01
37, 158, 2.00070e+00, 9.87008e+00, 1.72404e+00, 1.72404e+00, -1.60000e+01, 7.59494e-02, 4.27517e-01
38, 161, 2.03868e+00, 9.87463e+00, 1.87499e+00, 1.87499e+00, -1.60000e+01, 6.83230e-02, 4.84453e-01
39, 167, 2.11466e+00, 9.84860e+00, 1.78209e+00, 1.78209e+00, -1.60000e+01, 8.98204e-02, 4.57637e-01
40, 171, 2.16531e+00, 9.85806e+00, 1.82854e+00, 1.82854e+00, -1.60000e+01, 9.35673e-02, 5.22356e-01
41, 176, 2.22862e+00, 9.83823e+00, 1.67759e+00, 1.67759e+00, -1.60000e+01, 1.07955e-01, 4.53155e-01
42, 180, 2.27928e+00, 9.83402e+00, 0.00000e+00, 0.00000e+00, -3.40000e+01, 6.11111e-02, 5.13885e-01
43, 184, 2.32993e+00, 9.84752e+00, 1.62217e+00, 1.62217e+00, -3.40000e+01, 6.52174e-02, 4.85908e-01
44, 188, 2.38058e+00, 9.82901e+00, 1.74991e+00, 1.74991e+00, -3.40000e+01, 6.91489e-02, 4.90578e-01
45, 192, 2.43123e+00, 9.85829e+00, 1.88925e+00, 1.88925e+00, -3.40000e+01, 7.81250e-02, 5.30664e-01
46, 197, 2.49454e+00, 9.82336e+00, 1.93536e+00, 1.93536e+00, -3.40000e+01, 8.62944e-02, 5.01474e-01
47, 200, 2.53253e+00, 9.80474e+00, 1.97806e+00, 1.97806e+00, -3.40000e+01, 9.00000e-02, 5.78562e-01
48, 203, 2.57052e+00, 9.80283e+00, 2.00128e+00, 2.00128e+00, -3.40000e+01, 8.86700e-02, 5.67259e-01
49, 207, 2.62117e+00, 9.80164e+00, 0.00000e+00, 0.00000e+00, -3.00000e+01, 8.69565e-02, 5.48934e-01
50, 208, 2.63383e+00, 9.81575e+00, 1.80388e+00, 1.80388e+00, -3.00000e+01, 9.13462e-02, 5.34323e-01
51, 214, 2.70980e+00, 9.77424e+00, 1.75811e+00, 1.75811e+00, -3.00000e+01, 1.12150e-01, 5.83687e-01
52, 219, 2.77312e+00, 9.76010e+00, 2.00128e+00, 2.00128e+00, -3.00000e+01, 1.09589e-01, 5.86811e-01
53, 222, 2.81111e+00, 9.74330e+00, 2.03612e+00, 2.03612e+00, -3.00000e+01, 1.12613e-01, 5.56718e-01
54, 224, 2.83643e+00, 9.74670e+00, 2.22232e+00, 2.22232e+00, -3.00000e+01, 1.20536e-01, 5.91135e-01
55, 228, 2.88708e+00, 9.73876e+00, 2.21071e+00, 2.21071e+00, -3.00000e+01, 1.49123e-01, 5.19606e-01
56, 232, 2.93773e+00, 9.74809e+00, 0.00000e+00, 0.00000e+00, -3.00000e+01, 1.20690e-01, 5.92716e-01
57, 235, 2.97572e+00, 9.76612e+00, 2.32751e+00, 2.32751e+00, -3.00000e+01, 1.14894e-01, 6.73862e-01
58, 241, 3.05170e+00, 9.72858e+00, 2.51330e+00, 2.51330e+00, -3.00000e+01, 1.20332e-01, 6.11770e-01
59, 245, 3.10235e+00, 9.69951e+00, 2.22300e+00, 2.22300e+00, -3.00000e+01, 1.14286e-01, 6.70846e-01
60, 247, 3.12767e+00, 9.68736e+00, 2.22300e+00, 2.22300e+00, -3.00000e+01, 1.21457e-01, 6.13387e-01
61, 252, 3.19099e+00, 9.67215e+00, 2.61781e+00, 2.61781e+00, -3.00000e+01, 1.62698e-01, 6.46955e-01
62, 256, 3.24164e+00, 9.65251e+00, 2.79198e+00, 2.79198e+00, -3.00000e+01, 1.67969e-01, 6.11297e-01
63, 258, 3.26696e+00, 9.60072e+00, 0.00000e+00, 0.00000e+00, -2.60000e+01, 1.27907e-01, 6.64160e-01
64, 264, 3.34294e+00, 9.61626e+00, 2.08468e+00, 2.08468e+00, -2.60000e+01, 1.36364e-01, 6.38517e-01
65, 265, 3.35560e+00, 9.62369e+00, 2.18918e+00, 2.18918e+00, -2.60000e+01, 1.28302e-01, 6.73983e-01
66, 268, 3.39359e+00, 9.64478e+00, 2.44431e+00, 2.44431e+00, -2.60000e+01, 1.52985e-01, 6.68314e-01
67, 272, 3.44424e+00, 9.66208e+00, 2.56043e+00, 2.56043e+00, -2.60000e+01, 1.58088e-01, 7.26972e-01
68, 275, 3.48223e+00, 9.66240e+00, 2.69977e+00, 2.69977e+00, -2.60000e+01, 1.78182e-01, 7.94972e-01
69, 280, 3.54554e+00, 9.65036e+00, 2.89410e+00, 2.89410e+00, -2.60000e+01, 2.07143e-01, 7.59825e-01
70, 285, 3.60885e+00, 9.62440e+00, 0.00000e+00, 0.00000e+00, -3.60000e+01, 1.29825e-01, 7.59181e-01
71, 289, 3.65950e+00, 9.62149e+00, 2.74314e+00, 2.74314e+00, -3.60000e+01, 1.24567e-01, 7.22398e-01
72, 292, 3.69749e+00, 9.61683e+00, 2.67714e+00, 2.67714e+00, -3.60000e+01, 1.30137e-01, 7.55055e-01
73, 297, 3.76080e+00, 9.60277e+00, 2.65392e+00, 2.65392e+00, -3.60000e+01, 1.44781e-01, 6.78052e-01
74, 299, 3.78613e+00, 9.58175e+00, 2.48186e+00, 2.48186e+00, -3.60000e+01, 1.57191e-01, 7.92581e-01
75, 304, 3.84944e+00, 9.57999e+00, 2.91150e+00, 2.91150e+00, -3.60000e+01, 1.90789e-01, 7.36809e-01
76, 306, 3.87477e+00, 9.58326e+00, 2.85344e+00, 2.85344e+00, -3.60000e+01, 1.99346e-01, 7.85635e-01
