,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1
60,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0
120,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
180,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1
240,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0
300,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
360,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
420,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0
480,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1
540,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
600,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
660,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1
720,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
780,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1
840,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
900,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0
960,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1020,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
1080,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
1140,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
1200,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1
1260,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1
1320,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1
1380,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
1440,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1
1500,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0
1560,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1
1620,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
1680,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1
1740,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
1800,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
1860,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0
1920,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1980,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0
2040,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
2100,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
2160,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
2220,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
2280,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
2340,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
2400,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1
2460,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0
2520,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0
2580,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1
2640,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
2700,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
2760,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1
2820,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
2880,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2940,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
3000,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1
3060,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1
3120,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1
3180,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1
3240,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1
3300,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
3360,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
3420,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1
3480,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0
3540,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0
