,3way_1,3way_10,3way_14,3way_15,3way_19,3way_2,3way_21,3way_22,3way_23,3way_3,3way_5,3way_9,4way_11,4way_12,4way_13,4way_16,4way_17,4way_18,4way_6,4way_7,4way_8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1
120,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
180,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1
240,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0
300,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0
360,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
420,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
480,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1
540,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
600,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
660,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
720,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0
780,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
840,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0
900,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
960,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0
1020,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1
1080,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
1140,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
1200,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0
1260,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
1320,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1
1380,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0
1440,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1
1500,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0
1560,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
1620,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1
1680,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
1740,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1
1800,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0
1860,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1
1920,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0
1980,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
2040,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0
2100,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1
2160,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0
2220,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1
2280,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
2340,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
2400,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0
2460,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1
2520,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
2580,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
2640,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0
2700,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1
2760,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
2820,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
2880,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
2940,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1
3000,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
3060,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1
3120,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
3180,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
3240,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
3300,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
3360,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
3420,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
3480,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3540,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1
