controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 7.14310e-02, 1.02254e+01, 0.00000e+00, 0.00000e+00, 0.00000e+00, 1.00000e+00, 2.62472e-03
1, 2, 1.42862e-01, 1.02010e+01, 1.09180e-01, 1.09180e-01, 0.00000e+00, 5.00000e-01, 6.21792e-03
2, 3, 2.14293e-01, 1.01814e+01, 1.63770e-01, 1.63770e-01, 0.00000e+00, 3.33333e-01, 1.10577e-02
3, 4, 2.85724e-01, 1.01634e+01, 2.18360e-01, 2.18360e-01, 0.00000e+00, 2.50000e-01, 1.44128e-02
4, 5, 3.57155e-01, 1.01536e+01, 2.72950e-01, 2.72950e-01, 0.00000e+00, 2.00000e-01, 2.39026e-02
5, 7, 5.00017e-01, 1.01204e+01, 3.82129e-01, 3.82129e-01, 0.00000e+00, 2.85714e-01, 3.64556e-02
6, 8, 5.71448e-01, 1.01200e+01, 3.27540e-01, 3.27540e-01, 0.00000e+00, 1.25000e-01, 4.15174e-02
7, 9, 6.42879e-01, 1.01213e+01, 3.82129e-01, 3.82129e-01, 0.00000e+00, 1.11111e-01, 4.87712e-02
8, 10, 7.14310e-01, 1.01206e+01, 5.45899e-01, 5.45899e-01, 0.00000e+00, 1.00000e-01, 4.82439e-02
9, 11, 7.85741e-01, 1.01113e+01, 6.00489e-01, 6.00489e-01, 0.00000e+00, 9.09091e-02, 4.57357e-02
10, 13, 9.28603e-01, 1.00821e+01, 9.28029e-01, 9.28029e-01, 0.00000e+00, 1.53846e-01, 5.51499e-02
11, 14, 1.00003e+00, 1.00650e+01, 7.64259e-01, 7.64259e-01, 0.00000e+00, 7.14286e-02, 6.21481e-02
12, 15, 1.07147e+00, 1.00646e+01, 8.73439e-01, 8.73439e-01, 0.00000e+00, 6.66667e-02, 6.67513e-02
13, 16, 1.14290e+00, 1.00569e+01, 9.28029e-01, 9.28029e-01, 0.00000e+00, 6.25000e-02, 5.54030e-02
14, 17, 1.21433e+00, 1.00482e+01, 1.14639e+00, 1.14639e+00, 0.00000e+00, 1.17647e-01, 7.61069e-02
15, 19, 1.35719e+00, 9.99054e+00, 1.25557e+00, 1.25557e+00, 0.00000e+00, 2.10526e-01, 6.39866e-02
16, 20, 1.42862e+00, 9.96812e+00, 1.03721e+00, 1.03721e+00, 0.00000e+00, 1.50000e-01, 5.26695e-02
17, 21, 1.50005e+00, 9.95814e+00, 1.03721e+00, 1.03721e+00, 0.00000e+00, 2.38095e-01, 6.77797e-02
18, 21, 1.50005e+00, 9.94043e+00, 1.25557e+00, 1.25557e+00, 0.00000e+00, 2.38095e-01, 6.26146e-02
19, 22, 1.57148e+00, 9.92907e+00, 1.14639e+00, 1.14639e+00, 0.00000e+00, 2.27273e-01, 5.52789e-02
20, 24, 1.71434e+00, 9.87493e+00, 1.09180e+00, 1.09180e+00, 0.00000e+00, 3.33333e-01, 6.48163e-02
21, 25, 1.78578e+00, 9.86447e+00, 1.41934e+00, 1.41934e+00, 0.00000e+00, 3.20000e-01, 6.22021e-02
22, 26, 1.85721e+00, 9.86668e+00, 1.91065e+00, 1.91065e+00, 0.00000e+00, 3.46154e-01, 8.76993e-02
23, 27, 1.92864e+00, 9.90583e+00, 2.23819e+00, 2.23819e+00, 0.00000e+00, 3.33333e-01, 9.04312e-02
24, 28, 2.00007e+00, 9.86961e+00, 2.18360e+00, 2.18360e+00, 0.00000e+00, 3.21429e-01, 8.45303e-02
25, 30, 2.14293e+00, 9.84069e+00, 2.34737e+00, 2.34737e+00, 0.00000e+00, 3.66667e-01, 9.14505e-02
26, 30, 2.14293e+00, 9.83325e+00, 2.23819e+00, 2.23819e+00, 0.00000e+00, 3.33333e-01, 8.27258e-02
27, 30, 2.14293e+00, 9.82538e+00, 2.23819e+00, 2.23819e+00, 0.00000e+00, 4.00000e-01, 7.43636e-02
28, 31, 2.21436e+00, 9.79967e+00, 2.51114e+00, 2.51114e+00, 0.00000e+00, 4.51613e-01, 8.57497e-02
29, 32, 2.28579e+00, 9.74263e+00, 2.67491e+00, 2.67491e+00, 0.00000e+00, 4.37500e-01, 7.94050e-02
30, 33, 2.35722e+00, 9.74250e+00, 2.83868e+00, 2.83868e+00, 0.00000e+00, 4.24242e-01, 9.33733e-02
31, 34, 2.42865e+00, 9.74127e+00, 3.00245e+00, 3.00245e+00, 0.00000e+00, 4.70588e-01, 8.99372e-02
