controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.32707e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -9.40000e+01, 1.00000e+00, 2.62472e-03
1, 6, 1.39624e-01, 1.01246e+01, 4.36719e-01, 4.36719e-01, -9.40000e+01, 8.33333e-01, 1.60730e-02
2, 11, 2.55978e-01, 1.00884e+01, 6.67102e-01, 6.67102e-01, -9.40000e+01, 4.54545e-01, 3.41942e-02
3, 15, 3.49061e-01, 1.00666e+01, 8.85462e-01, 8.85462e-01, -9.40000e+01, 2.66667e-01, 5.19662e-02
4, 19, 4.42143e-01, 1.00505e+01, 9.94641e-01, 9.94641e-01, -9.40000e+01, 2.10526e-01, 7.77063e-02
5, 24, 5.58497e-01, 1.00298e+01, 1.15841e+00, 1.15841e+00, -9.40000e+01, 2.08333e-01, 1.04337e-01
6, 30, 6.98121e-01, 1.00158e+01, 1.44258e+00, 1.44258e+00, -9.40000e+01, 2.00000e-01, 1.51988e-01
7, 35, 8.14475e-01, 1.00144e+01, 1.82471e+00, 1.82471e+00, -9.40000e+01, 1.42857e-01, 1.88740e-01
8, 40, 9.30828e-01, 1.00159e+01, 2.09766e+00, 2.09766e+00, -9.40000e+01, 1.25000e-01, 2.16195e-01
9, 44, 1.02391e+00, 1.00159e+01, 2.09766e+00, 2.09766e+00, -9.40000e+01, 9.09091e-02, 2.13989e-01
10, 48, 1.11699e+00, 1.00058e+01, 2.04307e+00, 2.04307e+00, -9.40000e+01, 8.33333e-02, 2.09169e-01
11, 55, 1.27989e+00, 9.98953e+00, 2.80733e+00, 2.80733e+00, -9.40000e+01, 1.27273e-01, 2.25910e-01
12, 61, 1.41951e+00, 9.96721e+00, 2.97110e+00, 2.97110e+00, -9.40000e+01, 9.83607e-02, 2.20467e-01
13, 64, 1.48933e+00, 9.96904e+00, 3.13487e+00, 3.13487e+00, -9.40000e+01, 6.25000e-02, 2.68640e-01
14, 69, 1.60568e+00, 9.95722e+00, 3.46241e+00, 3.46241e+00, -9.40000e+01, 1.01449e-01, 2.77754e-01
15, 73, 1.69876e+00, 9.94502e+00, 3.57159e+00, 3.57159e+00, -9.40000e+01, 9.58904e-02, 2.76099e-01
16, 80, 1.86166e+00, 9.91090e+00, 4.22667e+00, 4.22667e+00, -9.40000e+01, 1.37500e-01, 2.89612e-01
17, 84, 1.95474e+00, 9.90447e+00, 4.88175e+00, 4.88175e+00, -9.40000e+01, 1.42857e-01, 2.73797e-01
18, 89, 2.07109e+00, 9.88181e+00, 5.48224e+00, 5.48224e+00, -9.40000e+01, 1.57303e-01, 3.00728e-01
19, 94, 2.18745e+00, 9.86046e+00, 5.85234e+00, 5.85234e+00, -9.40000e+01, 1.59574e-01, 2.94517e-01
20, 99, 2.30380e+00, 9.83526e+00, 5.26388e+00, 5.26388e+00, -9.40000e+01, 1.91919e-01, 3.08146e-01
21, 104, 2.42015e+00, 9.81190e+00, 5.75519e+00, 5.75519e+00, -9.40000e+01, 2.01923e-01, 2.87308e-01
22, 108, 2.51324e+00, 9.79233e+00, 5.80978e+00, 5.80978e+00, -9.40000e+01, 2.12963e-01, 3.46990e-01
23, 112, 2.60632e+00, 9.79195e+00, 5.90773e+00, 5.90773e+00, -9.40000e+01, 2.23214e-01, 3.45962e-01
24, 118, 2.74594e+00, 9.77671e+00, 6.34445e+00, 6.34445e+00, -9.40000e+01, 2.88136e-01, 3.29143e-01
25, 123, 2.86230e+00, 9.76710e+00, 7.32707e+00, 7.32707e+00, -9.40000e+01, 2.84553e-01, 3.33330e-01
26, 126, 2.93211e+00, 9.76279e+00, 7.43625e+00, 7.43625e+00, -9.40000e+01, 2.85714e-01, 3.54425e-01
27, 128, 2.97865e+00, 9.74215e+00, 6.94494e+00, 6.94494e+00, -9.40000e+01, 2.96875e-01, 3.50628e-01
28, 135, 3.14155e+00, 9.74134e+00, 8.09133e+00, 8.09133e+00, -9.40000e+01, 3.55556e-01, 3.50310e-01
29, 139, 3.23463e+00, 9.72753e+00, 9.07395e+00, 9.07395e+00, -9.40000e+01, 3.30935e-01, 3.78427e-01
30, 143, 3.32771e+00, 9.70135e+00, 9.24894e+00, 9.24894e+00, -9.40000e+01, 3.28671e-01, 3.77182e-01
31, 148, 3.44406e+00, 9.67883e+00, 9.26096e+00, 9.26096e+00, -9.40000e+01, 3.37838e-01, 3.98285e-01
32, 155, 3.60696e+00, 9.65781e+00, 1.01890e+01, 1.01890e+01, -9.40000e+01, 3.48387e-01, 3.98443e-01
33, 156, 3.63023e+00, 9.65348e+00, 1.06257e+01, 1.06257e+01, -9.40000e+01, 3.58974e-01, 4.46362e-01
34, 161, 3.74658e+00, 9.62979e+00, 1.14992e+01, 1.14992e+01, -9.40000e+01, 3.85093e-01, 4.25930e-01
35, 168, 3.90948e+00, 9.61139e+00, 1.25909e+01, 1.25909e+01, -9.40000e+01, 3.98810e-01, 4.59090e-01
36, 173, 4.02583e+00, 9.58820e+00, 1.39983e+01, 1.39983e+01, -9.40000e+01, 3.75723e-01, 4.39811e-01
37, 178, 4.14219e+00, 9.57878e+00, 1.55335e+01, 1.55335e+01, -9.40000e+01, 3.87640e-01, 4.88598e-01
