controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.42259e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, 8.00000e+00, 1.00000e+00, 2.62472e-03
1, 9, 4.88033e-02, 1.00998e+01, 4.91309e-01, 4.91309e-01, 8.00000e+00, 8.88889e-01, 2.44305e-02
2, 17, 9.21841e-02, 1.00867e+01, 9.28029e-01, 9.28029e-01, 8.00000e+00, 4.70588e-01, 5.24643e-02
3, 24, 1.30142e-01, 1.00776e+01, 1.31016e+00, 1.31016e+00, 8.00000e+00, 2.91667e-01, 8.23853e-02
4, 32, 1.73523e-01, 1.00690e+01, 1.74688e+00, 1.74688e+00, 8.00000e+00, 2.50000e-01, 1.28849e-01
5, 38, 2.06058e-01, 1.00674e+01, 2.18360e+00, 2.18360e+00, 8.00000e+00, 1.57895e-01, 1.67215e-01
6, 47, 2.54862e-01, 1.00616e+01, 2.78409e+00, 2.78409e+00, 8.00000e+00, 1.91489e-01, 2.27481e-01
7, 55, 2.98243e-01, 1.00583e+01, 3.11163e+00, 3.11163e+00, 8.00000e+00, 1.45455e-01, 2.86293e-01
8, 64, 3.47046e-01, 1.00576e+01, 3.71211e+00, 3.71211e+00, 8.00000e+00, 1.40625e-01, 3.46878e-01
9, 72, 3.90427e-01, 1.00559e+01, 4.14883e+00, 4.14883e+00, 8.00000e+00, 1.11111e-01, 3.43517e-01
10, 79, 4.28385e-01, 1.00516e+01, 4.25801e+00, 4.25801e+00, 8.00000e+00, 8.86076e-02, 3.56436e-01
11, 87, 4.71765e-01, 1.00452e+01, 4.74932e+00, 4.74932e+00, 8.00000e+00, 9.19540e-02, 3.70990e-01
12, 94, 5.09724e-01, 1.00367e+01, 5.13145e+00, 5.13145e+00, 8.00000e+00, 8.51064e-02, 3.63224e-01
13, 102, 5.53104e-01, 1.00268e+01, 5.51358e+00, 5.51358e+00, 8.00000e+00, 1.17647e-01, 3.59215e-01
14, 111, 6.01908e-01, 1.00177e+01, 5.84112e+00, 5.84112e+00, 8.00000e+00, 1.44144e-01, 3.88503e-01
15, 119, 6.45288e-01, 1.00083e+01, 6.11407e+00, 6.11407e+00, 8.00000e+00, 1.59664e-01, 4.11485e-01
16, 127, 6.88669e-01, 9.99905e+00, 6.55079e+00, 6.55079e+00, 8.00000e+00, 1.81102e-01, 3.93474e-01
17, 135, 7.32050e-01, 9.99150e+00, 7.20587e+00, 7.20587e+00, 8.00000e+00, 2.14815e-01, 4.10586e-01
18, 143, 7.75431e-01, 9.98813e+00, 7.91554e+00, 7.91554e+00, 8.00000e+00, 2.51748e-01, 4.38823e-01
19, 149, 8.07966e-01, 9.98760e+00, 9.00734e+00, 9.00734e+00, 8.00000e+00, 2.28188e-01, 4.64894e-01
20, 158, 8.56769e-01, 9.97188e+00, 9.17111e+00, 9.17111e+00, 8.00000e+00, 2.65823e-01, 4.41349e-01
21, 167, 9.05573e-01, 9.95529e+00, 9.66242e+00, 9.66242e+00, 8.00000e+00, 2.57485e-01, 4.72371e-01
22, 175, 9.48953e-01, 9.94277e+00, 1.00991e+01, 1.00991e+01, 8.00000e+00, 2.85714e-01, 4.75810e-01
23, 183, 9.92334e-01, 9.93530e+00, 1.01537e+01, 1.01537e+01, 8.00000e+00, 3.00546e-01, 5.16289e-01
24, 190, 1.03029e+00, 9.92147e+00, 1.03175e+01, 1.03175e+01, 8.00000e+00, 3.36842e-01, 5.30381e-01
25, 197, 1.06825e+00, 9.91396e+00, 1.09726e+01, 1.09726e+01, 8.00000e+00, 3.75635e-01, 5.36492e-01
26, 205, 1.11163e+00, 9.91005e+00, 1.22281e+01, 1.22281e+01, 8.00000e+00, 3.95122e-01, 5.85283e-01
27, 214, 1.16043e+00, 9.89809e+00, 1.27195e+01, 1.27195e+01, 8.00000e+00, 4.01869e-01, 5.65679e-01
28, 221, 1.19839e+00, 9.89451e+00, 1.29378e+01, 1.29378e+01, 8.00000e+00, 4.11765e-01, 6.03791e-01
29, 229, 1.24177e+00, 9.88508e+00, 1.35383e+01, 1.35383e+01, 8.00000e+00, 4.23581e-01, 6.02979e-01
30, 237, 1.28515e+00, 9.87367e+00, 1.50122e+01, 1.50122e+01, 8.00000e+00, 4.26160e-01, 6.07738e-01
