controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.42259e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, 8.00000e+00, 1.00000e+00, 2.62472e-03, 0.00000e+00
1, 7, 3.79581e-02, 1.01037e+01, 3.82129e-01, 3.82129e-01, 8.00000e+00, 8.57143e-01, 1.91810e-02, 0.00000e+00
2, 14, 7.59163e-02, 1.00920e+01, 7.64259e-01, 7.64259e-01, 8.00000e+00, 5.00000e-01, 4.30891e-02, 0.00000e+00
3, 19, 1.03029e-01, 1.00862e+01, 1.03721e+00, 1.03721e+00, 8.00000e+00, 2.63158e-01, 6.75059e-02, 0.00000e+00
4, 26, 1.40987e-01, 1.00778e+01, 1.41934e+00, 1.41934e+00, 8.00000e+00, 2.69231e-01, 1.00214e-01, 0.00000e+00
5, 32, 1.73523e-01, 1.00731e+01, 1.74688e+00, 1.74688e+00, 8.00000e+00, 1.87500e-01, 1.37914e-01, 0.00000e+00
6, 38, 2.06058e-01, 1.00719e+01, 2.18360e+00, 2.18360e+00, 8.00000e+00, 1.57895e-01, 1.88617e-01, 0.00000e+00
7, 44, 2.38594e-01, 1.00708e+01, 2.51114e+00, 2.51114e+00, 8.00000e+00, 1.36364e-01, 2.41145e-01, 0.00000e+00
8, 51, 2.76552e-01, 1.00681e+01, 2.78409e+00, 2.78409e+00, 8.00000e+00, 1.37255e-01, 2.74387e-01, 0.00000e+00
9, 59, 3.19933e-01, 1.00659e+01, 3.43916e+00, 3.43916e+00, 8.00000e+00, 1.35593e-01, 2.88391e-01, 0.00000e+00
10, 66, 3.57891e-01, 1.00618e+01, 3.82129e+00, 3.82129e+00, 8.00000e+00, 1.06061e-01, 2.85794e-01, 0.00000e+00
11, 72, 3.90427e-01, 1.00575e+01, 3.98506e+00, 3.98506e+00, 8.00000e+00, 8.33333e-02, 3.00424e-01, 0.00000e+00
12, 78, 4.22962e-01, 1.00547e+01, 4.14883e+00, 4.14883e+00, 8.00000e+00, 8.97436e-02, 3.34179e-01, 0.00000e+00
13, 83, 4.50075e-01, 1.00492e+01, 4.53096e+00, 4.53096e+00, 8.00000e+00, 8.43373e-02, 3.17236e-01, 0.00000e+00
14, 90, 4.88033e-01, 1.00385e+01, 4.96768e+00, 4.96768e+00, 8.00000e+00, 1.44444e-01, 3.21322e-01, 0.00000e+00
15, 97, 5.25991e-01, 1.00322e+01, 5.40440e+00, 5.40440e+00, 8.00000e+00, 1.64948e-01, 3.34348e-01, 0.00000e+00
16, 104, 5.63949e-01, 1.00260e+01, 5.62276e+00, 5.62276e+00, 8.00000e+00, 1.63462e-01, 3.69699e-01, 0.00000e+00
17, 110, 5.96485e-01, 1.00188e+01, 5.95030e+00, 5.95030e+00, 8.00000e+00, 1.90909e-01, 3.62259e-01, 0.00000e+00
18, 117, 6.34443e-01, 1.00082e+01, 6.44161e+00, 6.44161e+00, 8.00000e+00, 2.13675e-01, 3.10010e-01, 0.00000e+00
19, 123, 6.66979e-01, 9.99951e+00, 7.15128e+00, 7.15128e+00, 8.00000e+00, 2.19512e-01, 3.51604e-01, 0.00000e+00
20, 128, 6.94092e-01, 9.99272e+00, 7.42423e+00, 7.42423e+00, 8.00000e+00, 2.42188e-01, 3.59766e-01, 0.00000e+00
21, 134, 7.26627e-01, 9.98478e+00, 7.97013e+00, 7.97013e+00, 8.00000e+00, 2.76119e-01, 3.94089e-01, 0.00000e+00
22, 141, 7.64585e-01, 9.97423e+00, 8.02472e+00, 8.02472e+00, 8.00000e+00, 3.04965e-01, 3.92117e-01, 0.00000e+00
23, 147, 7.97121e-01, 9.96708e+00, 8.57062e+00, 8.57062e+00, 8.00000e+00, 3.12925e-01, 3.77762e-01, 0.00000e+00
24, 155, 8.40502e-01, 9.95566e+00, 9.44406e+00, 9.44406e+00, 8.00000e+00, 3.48387e-01, 3.73020e-01, 0.00000e+00
25, 161, 8.73037e-01, 9.94657e+00, 9.11652e+00, 9.11652e+00, 8.00000e+00, 3.47826e-01, 4.22991e-01, 0.00000e+00
