controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, 7.00000e+00, 1.00000e+00, 2.62472e-03, 3.43424e+02
1, 12, 4.10814e-02, 1.00908e+01, 6.55079e-01, 6.55079e-01, 7.00000e+00, 9.16667e-01, 3.19339e-02, 3.43424e+02
2, 23, 7.87393e-02, 1.00794e+01, 1.14639e+00, 1.14639e+00, 7.00000e+00, 4.78261e-01, 6.90649e-02, 3.43424e+02
3, 35, 1.19821e-01, 1.00692e+01, 1.80147e+00, 1.80147e+00, 7.00000e+00, 3.42857e-01, 1.27262e-01, 3.43424e+02
4, 47, 1.60902e-01, 1.00608e+01, 2.45655e+00, 2.45655e+00, 7.00000e+00, 2.55319e-01, 1.85185e-01, 3.43424e+02
5, 60, 2.05407e-01, 1.00540e+01, 3.27540e+00, 3.27540e+00, 7.00000e+00, 2.16667e-01, 2.57327e-01, 3.43424e+02
6, 72, 2.46488e-01, 1.00501e+01, 4.03965e+00, 4.03965e+00, 7.00000e+00, 1.66667e-01, 3.41345e-01, 3.43424e+02
7, 84, 2.87570e-01, 1.00473e+01, 4.58555e+00, 4.58555e+00, 7.00000e+00, 1.42857e-01, 4.40233e-01, 3.43424e+02
8, 95, 3.25227e-01, 1.00468e+01, 5.18604e+00, 5.18604e+00, 7.00000e+00, 1.15789e-01, 4.84940e-01, 3.43424e+02
9, 106, 3.62885e-01, 1.00477e+01, 6.00489e+00, 6.00489e+00, 7.00000e+00, 1.03774e-01, 5.23191e-01, 3.43424e+02
10, 119, 4.07390e-01, 1.00446e+01, 6.49620e+00, 6.49620e+00, 7.00000e+00, 1.09244e-01, 5.82518e-01, 3.43424e+02
11, 130, 4.45048e-01, 1.00410e+01, 6.82374e+00, 6.82374e+00, 7.00000e+00, 8.46154e-02, 5.68350e-01, 3.43424e+02
12, 141, 4.82706e-01, 1.00354e+01, 7.36964e+00, 7.36964e+00, 7.00000e+00, 7.80142e-02, 5.29356e-01, 3.43424e+02
13, 154, 5.27211e-01, 1.00273e+01, 8.51603e+00, 8.51603e+00, 7.00000e+00, 9.74026e-02, 5.58986e-01, 3.43424e+02
14, 166, 5.68292e-01, 1.00185e+01, 9.44406e+00, 9.44406e+00, 7.00000e+00, 1.02410e-01, 5.71366e-01, 3.43424e+02
15, 179, 6.12797e-01, 1.00111e+01, 9.98996e+00, 9.98996e+00, 7.00000e+00, 1.39665e-01, 6.16726e-01, 3.43424e+02
16, 190, 6.50455e-01, 1.00030e+01, 1.00445e+01, 1.00445e+01, 7.00000e+00, 1.57895e-01, 6.02137e-01, 3.43424e+02
17, 200, 6.84689e-01, 9.99645e+00, 1.08634e+01, 1.08634e+01, 7.00000e+00, 1.70000e-01, 6.21017e-01, 3.43424e+02
18, 212, 7.25771e-01, 9.98708e+00, 1.20098e+01, 1.20098e+01, 7.00000e+00, 2.16981e-01, 6.09844e-01, 3.43424e+02
19, 222, 7.60005e-01, 9.97556e+00, 1.21736e+01, 1.21736e+01, 7.00000e+00, 2.16216e-01, 6.33146e-01, 3.43424e+02
20, 233, 7.97663e-01, 9.96842e+00, 1.31562e+01, 1.31562e+01, 7.00000e+00, 2.36052e-01, 6.76930e-01, 3.43424e+02
21, 247, 8.45591e-01, 9.95419e+00, 1.41934e+01, 1.41934e+01, 7.00000e+00, 2.87449e-01, 6.47384e-01, 3.43424e+02
22, 257, 8.79826e-01, 9.94659e+00, 1.45209e+01, 1.45209e+01, 7.00000e+00, 2.84047e-01, 6.96684e-01, 3.43424e+02
23, 270, 9.24331e-01, 9.93508e+00, 1.58311e+01, 1.58311e+01, 7.00000e+00, 3.22222e-01, 6.93357e-01, 3.43424e+02
24, 282, 9.65412e-01, 9.92938e+00, 1.63770e+01, 1.63770e+01, 7.00000e+00, 3.36879e-01, 7.92233e-01, 3.43424e+02
25, 293, 1.00307e+00, 9.92058e+00, 1.72504e+01, 1.72504e+01, 7.00000e+00, 3.65188e-01, 7.84887e-01, 3.43424e+02
26, 306, 1.04757e+00, 9.91504e+00, 1.86152e+01, 1.86152e+01, 7.00000e+00, 3.75817e-01, 8.24866e-01, 3.43424e+02
27, 319, 1.09208e+00, 9.90358e+00, 1.90519e+01, 1.90519e+01, 7.00000e+00, 3.76176e-01, 8.19169e-01, 3.43424e+02
28, 330, 1.12974e+00, 9.89451e+00, 2.00891e+01, 2.00891e+01, 7.00000e+00, 3.78788e-01, 9.11267e-01, 3.43424e+02
29, 342, 1.17082e+00, 9.88211e+00, 2.06350e+01, 2.06350e+01, 7.00000e+00, 4.03509e-01, 9.13182e-01, 3.43424e+02
30, 355, 1.21532e+00, 9.87490e+00, 2.16722e+01, 2.16722e+01, 7.00000e+00, 4.16901e-01, 9.58085e-01, 3.43424e+02
31, 365, 1.24956e+00, 9.86565e+00, 2.35828e+01, 2.35828e+01, 7.00000e+00, 4.16438e-01, 9.51279e-01, 3.43424e+02
32, 377, 1.29064e+00, 9.85480e+00, 2.34191e+01, 2.34191e+01, 7.00000e+00, 4.37666e-01, 9.71248e-01, 3.43424e+02
33, 387, 1.32487e+00, 9.84564e+00, 2.45109e+01, 2.45109e+01, 7.00000e+00, 4.47028e-01, 1.02074e+00, 3.43424e+02
34, 401, 1.37280e+00, 9.83454e+00, 2.57664e+01, 2.57664e+01, 7.00000e+00, 4.71322e-01, 1.04329e+00, 3.43424e+02
35, 412, 1.41046e+00, 9.83051e+00, 2.70766e+01, 2.70766e+01, 7.00000e+00, 4.63592e-01, 1.10726e+00, 3.43424e+02
36, 426, 1.45839e+00, 9.81909e+00, 2.90964e+01, 2.90964e+01, 7.00000e+00, 4.85915e-01, 1.11288e+00, 3.43424e+02
37, 438, 1.49947e+00, 9.80535e+00, 2.97515e+01, 2.97515e+01, 7.00000e+00, 4.95434e-01, 1.10068e+00, 3.43424e+02
38, 449, 1.53713e+00, 9.79406e+00, 3.08979e+01, 3.08979e+01, 7.00000e+00, 4.98886e-01, 1.11115e+00, 3.43424e+02
39, 460, 1.57479e+00, 9.78209e+00, 3.28085e+01, 3.28085e+01, 7.00000e+00, 5.17391e-01, 1.12921e+00, 3.43424e+02
40, 473, 1.61929e+00, 9.77271e+00, 3.43916e+01, 3.43916e+01, 7.00000e+00, 5.39112e-01, 1.14452e+00, 3.43424e+02
41, 483, 1.65352e+00, 9.76699e+00, 3.64115e+01, 3.64115e+01, 7.00000e+00, 5.38302e-01, 1.23474e+00, 3.43424e+02
42, 494, 1.69118e+00, 9.75744e+00, 3.76670e+01, 3.76670e+01, 7.00000e+00, 5.54656e-01, 1.24466e+00, 3.43424e+02
43, 507, 1.73569e+00, 9.74483e+00, 3.92502e+01, 3.92502e+01, 7.00000e+00, 5.73964e-01, 1.24173e+00, 3.43424e+02
44, 520, 1.78019e+00, 9.73404e+00, 4.12700e+01, 4.12700e+01, 7.00000e+00, 5.76923e-01, 1.33967e+00, 3.43424e+02
45, 531, 1.81785e+00, 9.72211e+00, 4.21434e+01, 4.21434e+01, 7.00000e+00, 5.83804e-01, 1.29510e+00, 3.43424e+02
46, 542, 1.85551e+00, 9.71602e+00, 4.39995e+01, 4.39995e+01, 7.00000e+00, 5.97786e-01, 1.35388e+00, 3.43424e+02
47, 554, 1.89659e+00, 9.71026e+00, 4.46000e+01, 4.46000e+01, 7.00000e+00, 6.08303e-01, 1.33865e+00, 3.43424e+02
48, 566, 1.93767e+00, 9.69895e+00, 4.59101e+01, 4.59101e+01, 7.00000e+00, 6.18375e-01, 1.38701e+00, 3.43424e+02
49, 578, 1.97875e+00, 9.68891e+00, 4.68382e+01, 4.68382e+01, 7.00000e+00, 6.31488e-01, 1.45907e+00, 3.43424e+02
50, 589, 2.01641e+00, 9.67864e+00, 4.81483e+01, 4.81483e+01, 7.00000e+00, 6.33277e-01, 1.50087e+00, 3.43424e+02
51, 600, 2.05407e+00, 9.66901e+00, 4.95131e+01, 4.95131e+01, 7.00000e+00, 6.38333e-01, 1.50654e+00, 3.43424e+02
52, 612, 2.09515e+00, 9.66044e+00, 5.18604e+01, 5.18604e+01, 7.00000e+00, 6.50327e-01, 1.55078e+00, 3.43424e+02
53, 625, 2.13965e+00, 9.65629e+00, 5.43170e+01, 5.43170e+01, 7.00000e+00, 6.59200e-01, 1.63077e+00, 3.43424e+02
54, 636, 2.17731e+00, 9.65334e+00, 5.71011e+01, 5.71011e+01, 7.00000e+00, 6.66667e-01, 1.62119e+00, 3.43424e+02
55, 650, 2.22524e+00, 9.64707e+00, 5.96122e+01, 5.96122e+01, 7.00000e+00, 6.69231e-01, 1.69113e+00, 3.43424e+02
56, 661, 2.26290e+00, 9.64121e+00, 6.12499e+01, 6.12499e+01, 7.00000e+00, 6.68684e-01, 1.73543e+00, 3.43424e+02
57, 672, 2.30056e+00, 9.63340e+00, 6.25055e+01, 6.25055e+01, 7.00000e+00, 6.72619e-01, 1.70533e+00, 3.43424e+02
58, 682, 2.33479e+00, 9.62918e+00, 6.43069e+01, 6.43069e+01, 7.00000e+00, 6.78886e-01, 1.79617e+00, 3.43424e+02
59, 694, 2.37587e+00, 9.61948e+00, 6.70364e+01, 6.70364e+01, 7.00000e+00, 6.82997e-01, 1.75239e+00, 3.43424e+02
60, 707, 2.42038e+00, 9.60847e+00, 0.00000e+00, 0.00000e+00, 2.69000e+02, 6.91655e-01, 1.74680e+00, 4.45334e+01
61, 719, 2.46146e+00, 9.59575e+00, 7.03118e+01, 7.03118e+01, 2.69000e+02, 6.94019e-01, 1.80923e+00, 4.45334e+01
62, 730, 2.49912e+00, 9.58497e+00, 7.14582e+01, 7.14582e+01, 2.69000e+02, 6.91781e-01, 1.84090e+00, 4.45334e+01
63, 741, 2.53677e+00, 9.57211e+00, 7.20041e+01, 7.20041e+01, 2.69000e+02, 6.95007e-01, 1.81975e+00, 4.45334e+01
64, 754, 2.58128e+00, 9.55745e+00, 7.27138e+01, 7.27138e+01, 2.69000e+02, 7.16180e-01, 1.82925e+00, 4.45334e+01
65, 766, 2.62236e+00, 9.54262e+00, 7.28230e+01, 7.28230e+01, 2.69000e+02, 7.15405e-01, 1.86204e+00, 4.45334e+01
66, 776, 2.65659e+00, 9.53263e+00, 7.32597e+01, 7.32597e+01, 2.69000e+02, 7.35825e-01, 1.84046e+00, 4.45334e+01
67, 787, 2.69425e+00, 9.45998e+00, 2.60394e+01, 2.60394e+01, 2.69000e+02, 2.74460e-01, 2.40892e+00, 4.45334e+01
68, 800, 2.73876e+00, 9.53025e+00, 2.59848e+01, 2.59848e+01, 2.69000e+02, 1.25000e-01, 2.88869e+00, 4.45334e+01
69, 812, 2.77984e+00, 9.58635e+00, 2.81138e+01, 2.81138e+01, 2.69000e+02, 8.99015e-02, 3.27924e+00, 4.45334e+01
70, 819, 2.80380e+00, 9.65464e+00, 3.28631e+01, 3.28631e+01, 2.69000e+02, 8.54701e-02, 3.87290e+00, 4.45334e+01
71, 832, 2.84831e+00, 9.73197e+00, 3.29177e+01, 3.29177e+01, 2.69000e+02, 9.01442e-02, 4.37512e+00, 4.45334e+01
72, 843, 2.88597e+00, 9.83181e+00, 4.64014e+01, 4.64014e+01, 2.69000e+02, 9.01542e-02, 4.71498e+00, 4.45334e+01
73, 857, 2.93389e+00, 9.87165e+00, 4.63468e+01, 4.63468e+01, 2.69000e+02, 1.02684e-01, 4.40730e+00, 4.45334e+01
74, 866, 2.96470e+00, 9.89554e+00, 5.33344e+01, 5.33344e+01, 2.69000e+02, 1.01617e-01, 3.30699e+00, 4.45334e+01
75, 876, 2.99894e+00, 9.89337e+00, 5.39894e+01, 5.39894e+01, 2.69000e+02, 1.09589e-01, 2.50773e+00, 4.45334e+01
76, 886, 3.03317e+00, 9.85953e+00, 5.46991e+01, 5.46991e+01, 2.69000e+02, 1.17381e-01, 1.96374e+00, 4.45334e+01
77, 891, 3.05029e+00, 9.80511e+00, 5.42078e+01, 5.42078e+01, 2.69000e+02, 1.25701e-01, 1.58894e+00, 4.45334e+01
78, 904, 3.09480e+00, 9.75967e+00, 5.95030e+01, 5.95030e+01, 2.69000e+02, 1.47124e-01, 1.60247e+00, 4.45334e+01
