controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.21000e+02, 1.00000e+00, 2.62472e-03, 2.26021e-04
1, 12, 4.10814e-02, 1.00908e+01, 6.55079e-01, 6.55079e-01, -6.21000e+02, 9.16667e-01, 3.19339e-02, 2.26021e-04
2, 23, 7.87393e-02, 1.00797e+01, 1.25557e+00, 1.25557e+00, -6.21000e+02, 4.78261e-01, 7.24908e-02, 2.26021e-04
3, 35, 1.19821e-01, 1.00693e+01, 1.91065e+00, 1.91065e+00, -6.21000e+02, 3.42857e-01, 1.25416e-01, 2.26021e-04
4, 47, 1.60902e-01, 1.00619e+01, 2.78409e+00, 2.78409e+00, -6.21000e+02, 2.55319e-01, 1.87953e-01, 2.26021e-04
5, 59, 2.01983e-01, 1.00560e+01, 3.54834e+00, 3.54834e+00, -6.21000e+02, 2.03390e-01, 2.54956e-01, 2.26021e-04
6, 71, 2.43065e-01, 1.00511e+01, 4.20342e+00, 4.20342e+00, -6.21000e+02, 1.69014e-01, 3.41373e-01, 2.26021e-04
7, 84, 2.87570e-01, 1.00479e+01, 4.91309e+00, 4.91309e+00, -6.21000e+02, 1.54762e-01, 4.44455e-01, 2.26021e-04
8, 96, 3.28651e-01, 1.00459e+01, 5.45899e+00, 5.45899e+00, -6.21000e+02, 1.25000e-01, 4.82235e-01, 2.26021e-04
9, 106, 3.62885e-01, 1.00454e+01, 6.00489e+00, 6.00489e+00, -6.21000e+02, 9.43396e-02, 4.96403e-01, 2.26021e-04
10, 119, 4.07390e-01, 1.00425e+01, 6.55079e+00, 6.55079e+00, -6.21000e+02, 1.09244e-01, 5.65964e-01, 2.26021e-04
11, 130, 4.45048e-01, 1.00395e+01, 7.09669e+00, 7.09669e+00, -6.21000e+02, 8.46154e-02, 5.87915e-01, 2.26021e-04
12, 143, 4.89553e-01, 1.00318e+01, 7.69718e+00, 7.69718e+00, -6.21000e+02, 9.79021e-02, 5.61927e-01, 2.26021e-04
13, 155, 5.30634e-01, 1.00279e+01, 8.51603e+00, 8.51603e+00, -6.21000e+02, 1.03226e-01, 5.66706e-01, 2.26021e-04
14, 166, 5.68292e-01, 1.00235e+01, 9.06193e+00, 9.06193e+00, -6.21000e+02, 1.20482e-01, 6.34801e-01, 2.26021e-04
15, 179, 6.12797e-01, 1.00173e+01, 9.98996e+00, 9.98996e+00, -6.21000e+02, 1.39665e-01, 6.44076e-01, 2.26021e-04
