controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.21000e+02, 1.00000e+00, 2.62472e-03, 2.18630e-04
1, 18, 6.16220e-02, 1.00835e+01, 8.73439e-01, 8.73439e-01, -6.21000e+02, 9.44444e-01, 4.76822e-02, 2.18630e-04
2, 35, 1.19821e-01, 1.00659e+01, 1.80147e+00, 1.80147e+00, -6.21000e+02, 4.85714e-01, 1.05640e-01, 2.18630e-04
3, 52, 1.78019e-01, 1.00517e+01, 2.72950e+00, 2.72950e+00, -6.21000e+02, 3.26923e-01, 1.85403e-01, 2.18630e-04
4, 71, 2.43065e-01, 1.00387e+01, 3.87588e+00, 3.87588e+00, -6.21000e+02, 2.67606e-01, 2.81245e-01, 2.18630e-04
5, 88, 3.01263e-01, 1.00308e+01, 4.80391e+00, 4.80391e+00, -6.21000e+02, 1.93182e-01, 3.82237e-01, 2.18630e-04
6, 104, 3.56038e-01, 1.00265e+01, 5.78653e+00, 5.78653e+00, -6.21000e+02, 1.53846e-01, 4.91896e-01, 2.18630e-04
7, 122, 4.17660e-01, 1.00227e+01, 6.76915e+00, 6.76915e+00, -6.21000e+02, 1.47541e-01, 6.35451e-01, 2.18630e-04
8, 140, 4.79283e-01, 1.00232e+01, 8.51603e+00, 8.51603e+00, -6.21000e+02, 1.28571e-01, 7.41543e-01, 2.18630e-04
9, 156, 5.34058e-01, 1.00238e+01, 9.71701e+00, 9.71701e+00, -6.21000e+02, 1.02564e-01, 7.77184e-01, 2.18630e-04
10, 175, 5.99103e-01, 1.00169e+01, 1.03175e+01, 1.03175e+01, -6.21000e+02, 1.08571e-01, 8.03937e-01, 2.18630e-04
11, 191, 6.53878e-01, 1.00100e+01, 1.04813e+01, 1.04813e+01, -6.21000e+02, 8.37696e-02, 7.77332e-01, 2.18630e-04
12, 208, 7.12077e-01, 1.00046e+01, 1.15731e+01, 1.15731e+01, -6.21000e+02, 8.65385e-02, 8.24533e-01, 2.18630e-04
13, 224, 7.66852e-01, 9.99725e+00, 1.30470e+01, 1.30470e+01, -6.21000e+02, 1.02679e-01, 8.64677e-01, 2.18630e-04
14, 241, 8.25051e-01, 9.98879e+00, 1.40842e+01, 1.40842e+01, -6.21000e+02, 1.20332e-01, 8.70865e-01, 2.18630e-04
15, 261, 8.93520e-01, 9.97789e+00, 1.47393e+01, 1.47393e+01, -6.21000e+02, 1.57088e-01, 8.76175e-01, 2.18630e-04
16, 280, 9.58565e-01, 9.96896e+00, 1.59403e+01, 1.59403e+01, -6.21000e+02, 1.64286e-01, 9.19341e-01, 2.18630e-04
17, 292, 9.99646e-01, 9.96777e+00, 1.68137e+01, 1.68137e+01, -6.21000e+02, 1.47260e-01, 9.57745e-01, 2.18630e-04
18, 313, 1.07154e+00, 9.95546e+00, 1.72504e+01, 1.72504e+01, -6.21000e+02, 1.85304e-01, 9.82983e-01, 2.18630e-04
19, 329, 1.12631e+00, 9.94497e+00, 1.73050e+01, 1.73050e+01, -6.21000e+02, 1.67173e-01, 1.00724e+00, 2.18630e-04
20, 348, 1.19136e+00, 9.93488e+00, 1.85606e+01, 1.85606e+01, -6.21000e+02, 1.98276e-01, 1.03875e+00, 2.18630e-04
21, 365, 1.24956e+00, 9.92459e+00, 2.05258e+01, 2.05258e+01, -6.21000e+02, 2.02740e-01, 1.08170e+00, 2.18630e-04
22, 382, 1.30776e+00, 9.91316e+00, 2.24365e+01, 2.24365e+01, -6.21000e+02, 2.27749e-01, 1.13077e+00, 2.18630e-04
23, 399, 1.36596e+00, 9.90398e+00, 2.29278e+01, 2.29278e+01, -6.21000e+02, 2.33083e-01, 1.19825e+00, 2.18630e-04
24, 417, 1.42758e+00, 9.89733e+00, 2.48384e+01, 2.48384e+01, -6.21000e+02, 2.44604e-01, 1.21732e+00, 2.18630e-04
25, 434, 1.48578e+00, 9.88466e+00, 2.43471e+01, 2.43471e+01, -6.21000e+02, 2.55760e-01, 1.19056e+00, 2.18630e-04
26, 450, 1.54055e+00, 9.87981e+00, 2.62578e+01, 2.62578e+01, -6.21000e+02, 2.51111e-01, 1.43624e+00, 2.18630e-04
27, 468, 1.60217e+00, 9.86745e+00, 2.72950e+01, 2.72950e+01, -6.21000e+02, 2.75641e-01, 1.32431e+00, 2.18630e-04
28, 482, 1.65010e+00, 9.86294e+00, 2.83868e+01, 2.83868e+01, -6.21000e+02, 2.80083e-01, 1.37268e+00, 2.18630e-04
29, 500, 1.71172e+00, 9.84918e+00, 2.79500e+01, 2.79500e+01, -6.21000e+02, 2.90000e-01, 1.48715e+00, 2.18630e-04
30, 517, 1.76992e+00, 9.84225e+00, 3.16076e+01, 3.16076e+01, -6.21000e+02, 2.90135e-01, 1.48555e+00, 2.18630e-04
31, 536, 1.83497e+00, 9.83020e+00, 3.21535e+01, 3.21535e+01, -6.21000e+02, 3.00373e-01, 1.43799e+00, 2.18630e-04
32, 555, 1.90001e+00, 9.82455e+00, 3.41187e+01, 3.41187e+01, -6.21000e+02, 3.13514e-01, 1.49411e+00, 2.18630e-04
33, 571, 1.95479e+00, 9.81315e+00, 3.53743e+01, 3.53743e+01, -6.21000e+02, 3.16988e-01, 1.56541e+00, 2.18630e-04
34, 587, 2.00956e+00, 9.80005e+00, 3.56472e+01, 3.56472e+01, -6.21000e+02, 3.18569e-01, 1.55307e+00, 2.18630e-04
35, 602, 2.06091e+00, 9.78841e+00, 3.74487e+01, 3.74487e+01, -6.21000e+02, 3.35548e-01, 1.52816e+00, 2.18630e-04
