controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, 7.00000e+00, 1.00000e+00, 2.62472e-03, 3.77588e+02
1, 20, 6.84689e-02, 1.00811e+01, 9.82619e-01, 9.82619e-01, 7.00000e+00, 9.50000e-01, 5.29317e-02, 3.77588e+02
2, 40, 1.36938e-01, 1.00603e+01, 2.07442e+00, 2.07442e+00, 7.00000e+00, 5.00000e-01, 1.20950e-01, 3.77588e+02
3, 60, 2.05407e-01, 1.00432e+01, 3.16622e+00, 3.16622e+00, 7.00000e+00, 3.33333e-01, 2.10815e-01, 3.77588e+02
4, 81, 2.77299e-01, 1.00300e+01, 4.42178e+00, 4.42178e+00, 7.00000e+00, 2.59259e-01, 3.19564e-01, 3.77588e+02
5, 100, 3.42345e-01, 1.00212e+01, 5.56817e+00, 5.56817e+00, 7.00000e+00, 1.90000e-01, 4.32471e-01, 3.77588e+02
6, 119, 4.07390e-01, 1.00143e+01, 6.49620e+00, 6.49620e+00, 7.00000e+00, 1.59664e-01, 5.62685e-01, 3.77588e+02
7, 140, 4.79283e-01, 1.00134e+01, 8.51603e+00, 8.51603e+00, 7.00000e+00, 1.50000e-01, 7.41656e-01, 3.77588e+02
8, 159, 5.44328e-01, 1.00138e+01, 9.88078e+00, 9.88078e+00, 7.00000e+00, 1.19497e-01, 8.58055e-01, 3.77588e+02
9, 180, 6.16220e-01, 1.00093e+01, 1.09180e+01, 1.09180e+01, 7.00000e+00, 1.16667e-01, 8.95354e-01, 3.77588e+02
10, 198, 6.77842e-01, 1.00050e+01, 1.07542e+01, 1.07542e+01, 7.00000e+00, 9.09091e-02, 8.85316e-01, 3.77588e+02
11, 218, 7.46311e-01, 9.99595e+00, 1.16277e+01, 1.16277e+01, 7.00000e+00, 9.17431e-02, 8.88207e-01, 3.77588e+02
12, 238, 8.14780e-01, 9.98624e+00, 1.31016e+01, 1.31016e+01, 7.00000e+00, 8.82353e-02, 9.45345e-01, 3.77588e+02
13, 259, 8.86673e-01, 9.97226e+00, 1.43026e+01, 1.43026e+01, 7.00000e+00, 1.04247e-01, 9.40642e-01, 3.77588e+02
14, 280, 9.58565e-01, 9.95925e+00, 1.56673e+01, 1.56673e+01, 7.00000e+00, 1.25000e-01, 9.89893e-01, 3.77588e+02
15, 298, 1.02019e+00, 9.94998e+00, 1.67045e+01, 1.67045e+01, 7.00000e+00, 1.40940e-01, 1.00317e+00, 3.77588e+02
16, 319, 1.09208e+00, 9.93700e+00, 1.72504e+01, 1.72504e+01, 7.00000e+00, 1.69279e-01, 1.02829e+00, 3.77588e+02
17, 339, 1.16055e+00, 9.92449e+00, 1.79601e+01, 1.79601e+01, 7.00000e+00, 1.91740e-01, 1.04516e+00, 3.77588e+02
18, 359, 1.22902e+00, 9.91515e+00, 1.93794e+01, 1.93794e+01, 7.00000e+00, 2.03343e-01, 1.09737e+00, 3.77588e+02
