controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -1.80000e+01, 1.00000e+00, 2.62472e-03, 2.80299e-02, 2.80299e-02
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -1.80000e+01, 8.00000e-01, 1.34483e-02, 2.80299e-02, 2.80299e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, -1.80000e+01, 4.44444e-01, 2.85075e-02, 2.80299e-02, 2.80299e-02
3, 14, 1.77277e-01, 1.00713e+01, 2.11750e-01, 2.11750e-01, -1.80000e+01, 3.57143e-01, 4.61995e-02, 2.80299e-02, 2.80299e-02
4, 18, 2.27928e-01, 1.00548e+01, 2.58198e-01, 2.58198e-01, -1.80000e+01, 2.22222e-01, 7.39137e-02, 2.80299e-02, 2.80299e-02
5, 21, 2.65915e-01, 1.00507e+01, 2.69810e-01, 2.69810e-01, -1.80000e+01, 1.42857e-01, 9.34320e-02, 2.80299e-02, 2.80299e-02
6, 26, 3.29229e-01, 1.00331e+01, 2.95680e-01, 2.95680e-01, -1.80000e+01, 1.92308e-01, 1.29961e-01, 2.80299e-02, 2.80299e-02
7, 31, 3.92542e-01, 1.00280e+01, 3.53739e-01, 3.53739e-01, -1.80000e+01, 1.61290e-01, 1.64598e-01, 2.80299e-02, 2.80299e-02
8, 34, 4.30530e-01, 1.00369e+01, 3.88575e-01, 3.88575e-01, -1.80000e+01, 8.82353e-02, 1.92104e-01, 2.80299e-02, 2.80299e-02
9, 39, 4.93843e-01, 1.00330e+01, 5.27918e-01, 5.27918e-01, -1.80000e+01, 1.28205e-01, 1.94031e-01, 2.80299e-02, 2.80299e-02
10, 42, 5.31831e-01, 1.00392e+01, 5.62754e-01, 5.62754e-01, -1.80000e+01, 7.14286e-02, 1.97110e-01, 2.80299e-02, 2.80299e-02
11, 46, 5.82481e-01, 1.00369e+01, 6.09201e-01, 6.09201e-01, -1.80000e+01, 8.69565e-02, 2.03697e-01, 2.80299e-02, 2.80299e-02
12, 52, 6.58457e-01, 1.00291e+01, 7.48544e-01, 7.48544e-01, -1.80000e+01, 1.15385e-01, 2.12724e-01, 2.80299e-02, 2.80299e-02
