controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -1.40000e+01, 1.00000e+00, 2.62472e-03
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -1.40000e+01, 8.00000e-01, 1.34483e-02
2, 9, 1.13964e-01, 1.01048e+01, 1.18855e-01, 1.18855e-01, -1.40000e+01, 4.44444e-01, 2.85075e-02
3, 14, 1.77277e-01, 1.00713e+01, 2.11750e-01, 2.11750e-01, -1.40000e+01, 3.57143e-01, 4.61995e-02
4, 18, 2.27928e-01, 1.00548e+01, 2.58198e-01, 2.58198e-01, -1.40000e+01, 2.22222e-01, 7.39137e-02
5, 21, 2.65915e-01, 1.00507e+01, 2.69810e-01, 2.69810e-01, -1.40000e+01, 1.42857e-01, 9.34320e-02
6, 26, 3.29229e-01, 1.00331e+01, 2.95680e-01, 2.95680e-01, -1.40000e+01, 1.92308e-01, 1.29961e-01
7, 31, 3.92542e-01, 1.00280e+01, 3.53739e-01, 3.53739e-01, -1.40000e+01, 1.61290e-01, 1.64598e-01
8, 34, 4.30530e-01, 1.00369e+01, 3.88575e-01, 3.88575e-01, -1.40000e+01, 8.82353e-02, 1.92104e-01
9, 39, 4.93843e-01, 1.00330e+01, 5.27918e-01, 5.27918e-01, -1.40000e+01, 1.28205e-01, 1.94031e-01
10, 42, 5.31831e-01, 1.00392e+01, 5.62754e-01, 5.62754e-01, -1.40000e+01, 7.14286e-02, 1.97110e-01
11, 46, 5.82481e-01, 1.00369e+01, 6.09201e-01, 6.09201e-01, -1.40000e+01, 8.69565e-02, 2.03697e-01
12, 52, 6.58457e-01, 1.00291e+01, 7.48544e-01, 7.48544e-01, -1.40000e+01, 1.15385e-01, 2.12724e-01
13, 57, 7.21770e-01, 1.00198e+01, 8.29828e-01, 8.29828e-01, -1.40000e+01, 8.77193e-02, 2.01825e-01
14, 61, 7.72421e-01, 1.00195e+01, 9.22723e-01, 9.22723e-01, -1.40000e+01, 6.55738e-02, 2.33002e-01
15, 66, 8.35734e-01, 1.00070e+01, 9.80783e-01, 9.80783e-01, -1.40000e+01, 7.57576e-02, 2.45629e-01
16, 70, 8.86385e-01, 1.00112e+01, 1.07368e+00, 1.07368e+00, -1.40000e+01, 5.71429e-02, 2.71691e-01
17, 74, 9.37035e-01, 1.00011e+01, 1.08529e+00, 1.08529e+00, -1.40000e+01, 5.40541e-02, 2.71189e-01
18, 79, 1.00035e+00, 9.98483e+00, 1.18980e+00, 1.18980e+00, -1.40000e+01, 6.32911e-02, 2.53602e-01
19, 83, 1.05100e+00, 9.97547e+00, 1.23625e+00, 1.23625e+00, -1.40000e+01, 4.81928e-02, 2.94359e-01
20, 87, 1.10165e+00, 9.96606e+00, 1.27108e+00, 1.27108e+00, -1.40000e+01, 4.59770e-02, 2.80175e-01
21, 92, 1.16496e+00, 9.94363e+00, 1.25947e+00, 1.25947e+00, -1.40000e+01, 5.43478e-02, 3.03015e-01
22, 96, 1.21561e+00, 9.93250e+00, 1.38720e+00, 1.38720e+00, -1.40000e+01, 8.33333e-02, 3.00386e-01
23, 100, 1.26626e+00, 9.90948e+00, 1.41316e+00, 1.41316e+00, -1.40000e+01, 1.00000e-01, 2.51320e-01
24, 105, 1.32958e+00, 9.88493e+00, 1.43638e+00, 1.43638e+00, -1.40000e+01, 1.33333e-01, 3.08614e-01
25, 108, 1.36757e+00, 9.86734e+00, 1.41316e+00, 1.41316e+00, -1.40000e+01, 1.29630e-01, 3.22363e-01
26, 111, 1.40555e+00, 9.85717e+00, 1.40155e+00, 1.40155e+00, -1.40000e+01, 1.53153e-01, 2.67814e-01
27, 116, 1.46887e+00, 9.82402e+00, 1.55250e+00, 1.55250e+00, -1.40000e+01, 1.81034e-01, 2.91735e-01
28, 120, 1.51952e+00, 9.81432e+00, 1.62217e+00, 1.62217e+00, -1.40000e+01, 2.00000e-01, 3.31950e-01
29, 124, 1.57017e+00, 9.79607e+00, 1.56411e+00, 1.56411e+00, -1.40000e+01, 2.01613e-01, 3.28348e-01
30, 127, 1.60816e+00, 9.79319e+00, 1.65701e+00, 1.65701e+00, -1.40000e+01, 2.12598e-01, 3.60543e-01
31, 131, 1.65881e+00, 9.76657e+00, 1.76152e+00, 1.76152e+00, -1.40000e+01, 2.29008e-01, 3.25826e-01
32, 136, 1.72212e+00, 9.73591e+00, 1.78474e+00, 1.78474e+00, -1.40000e+01, 2.64706e-01, 3.72889e-01
33, 140, 1.77277e+00, 9.72393e+00, 1.81958e+00, 1.81958e+00, -1.40000e+01, 2.57143e-01, 3.49733e-01
34, 146, 1.84875e+00, 9.70066e+00, 1.91247e+00, 1.91247e+00, -1.40000e+01, 2.73973e-01, 3.58207e-01
35, 151, 1.91206e+00, 9.68433e+00, 2.13036e+00, 2.13036e+00, -1.40000e+01, 2.98013e-01, 3.69787e-01
36, 154, 1.95005e+00, 9.67938e+00, 2.17955e+00, 2.17955e+00, -1.40000e+01, 2.98701e-01, 3.68879e-01
37, 160, 2.02602e+00, 9.64605e+00, 2.20277e+00, 2.20277e+00, -1.40000e+01, 3.12500e-01, 3.88332e-01
38, 165, 2.08934e+00, 9.62182e+00, 2.21174e+00, 2.21174e+00, -1.40000e+01, 3.21212e-01, 4.38599e-01
39, 168, 2.12732e+00, 9.61148e+00, 2.45559e+00, 2.45559e+00, -1.40000e+01, 3.15476e-01, 4.47008e-01
40, 172, 2.17797e+00, 9.59077e+00, 2.50203e+00, 2.50203e+00, -1.40000e+01, 3.37209e-01, 4.23224e-01
41, 178, 2.25395e+00, 9.55282e+00, 2.52526e+00, 2.52526e+00, -1.40000e+01, 3.48315e-01, 4.71287e-01
42, 182, 2.30460e+00, 9.54695e+00, 2.56009e+00, 2.56009e+00, -1.40000e+01, 3.46154e-01, 4.33897e-01
43, 186, 2.35525e+00, 9.53410e+00, 2.62080e+00, 2.62080e+00, -1.40000e+01, 3.60215e-01, 4.69766e-01
44, 190, 2.40590e+00, 9.52910e+00, 2.72531e+00, 2.72531e+00, -1.40000e+01, 3.68421e-01, 4.65994e-01
45, 193, 2.44389e+00, 9.53162e+00, 3.02722e+00, 3.02722e+00, -1.40000e+01, 3.83420e-01, 4.56340e-01
46, 198, 2.50720e+00, 9.53492e+00, 3.22462e+00, 3.22462e+00, -1.40000e+01, 3.93939e-01, 5.02457e-01
47, 202, 2.55785e+00, 9.52805e+00, 3.48829e+00, 3.48829e+00, -1.40000e+01, 3.91089e-01, 4.73774e-01
48, 206, 2.60850e+00, 9.50179e+00, 3.46506e+00, 3.46506e+00, -1.40000e+01, 4.02913e-01, 5.07684e-01
49, 211, 2.67182e+00, 9.47748e+00, 3.44184e+00, 3.44184e+00, -1.40000e+01, 4.07583e-01, 4.99205e-01
50, 215, 2.72247e+00, 9.47397e+00, 3.66247e+00, 3.66247e+00, -1.40000e+01, 4.09302e-01, 5.61711e-01
51, 217, 2.74779e+00, 9.44402e+00, 3.67408e+00, 3.67408e+00, -1.40000e+01, 4.28571e-01, 5.52931e-01
52, 221, 2.79844e+00, 9.44962e+00, 3.73214e+00, 3.73214e+00, -1.40000e+01, 4.20814e-01, 5.80113e-01
53, 226, 2.86176e+00, 9.45425e+00, 4.49417e+00, 4.49417e+00, -1.40000e+01, 4.33628e-01, 5.83974e-01
54, 229, 2.89974e+00, 9.45307e+00, 4.91220e+00, 4.91220e+00, -1.40000e+01, 4.41048e-01, 6.08833e-01
55, 232, 2.93773e+00, 9.44909e+00, 4.91220e+00, 4.91220e+00, -1.40000e+01, 4.52586e-01, 6.01681e-01
56, 235, 2.97572e+00, 9.46009e+00, 5.28378e+00, 5.28378e+00, -1.40000e+01, 4.42553e-01, 5.72799e-01
57, 238, 3.01371e+00, 9.45826e+00, 5.45796e+00, 5.45796e+00, -1.40000e+01, 4.49580e-01, 6.62253e-01
58, 244, 3.08968e+00, 9.43727e+00, 5.95727e+00, 5.95727e+00, -1.40000e+01, 4.54918e-01, 6.73156e-01
59, 248, 3.14033e+00, 9.41759e+00, 6.10823e+00, 6.10823e+00, -1.40000e+01, 4.63710e-01, 6.01060e-01
60, 250, 3.16566e+00, 9.42810e+00, 0.00000e+00, 0.00000e+00, 3.80000e+01, 4.60000e-01, 6.32324e-01
