controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -1.40000e+01, 1.00000e+00, 2.62472e-03, 1.34121e+02, 1.34121e+02
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, -1.40000e+01, 8.00000e-01, 1.34483e-02, 1.34121e+02, 1.34121e+02
2, 9, 1.13964e-01, 1.01042e+01, 1.18855e-01, 1.18855e-01, -1.40000e+01, 4.44444e-01, 2.75859e-02, 1.34121e+02, 1.34121e+02
3, 14, 1.77277e-01, 1.00710e+01, 1.76914e-01, 1.76914e-01, -1.40000e+01, 3.57143e-01, 4.64680e-02, 1.34121e+02, 1.34121e+02
4, 17, 2.15265e-01, 1.00632e+01, 2.11750e-01, 2.11750e-01, -1.40000e+01, 1.76471e-01, 7.04499e-02, 1.34121e+02, 1.34121e+02
5, 20, 2.53253e-01, 1.00579e+01, 2.23362e-01, 2.23362e-01, -1.40000e+01, 1.50000e-01, 9.12131e-02, 1.34121e+02, 1.34121e+02
6, 26, 3.29229e-01, 1.00374e+01, 3.18903e-01, 3.18903e-01, -1.40000e+01, 2.30769e-01, 1.27386e-01, 1.34121e+02, 1.34121e+02
7, 31, 3.92542e-01, 1.00327e+01, 4.00187e-01, 4.00187e-01, -1.40000e+01, 1.61290e-01, 1.69896e-01, 1.34121e+02, 1.34121e+02
8, 34, 4.30530e-01, 1.00398e+01, 4.11799e-01, 4.11799e-01, -1.40000e+01, 8.82353e-02, 1.87804e-01, 1.34121e+02, 1.34121e+02
9, 39, 4.93843e-01, 1.00350e+01, 4.93082e-01, 4.93082e-01, -1.40000e+01, 1.28205e-01, 1.91963e-01, 1.34121e+02, 1.34121e+02
10, 42, 5.31831e-01, 1.00392e+01, 5.04694e-01, 5.04694e-01, -1.40000e+01, 7.14286e-02, 1.95415e-01, 1.34121e+02, 1.34121e+02
11, 46, 5.82481e-01, 1.00339e+01, 5.27918e-01, 5.27918e-01, -1.40000e+01, 8.69565e-02, 1.97962e-01, 1.34121e+02, 1.34121e+02
12, 52, 6.58457e-01, 1.00262e+01, 6.90485e-01, 6.90485e-01, -1.40000e+01, 1.15385e-01, 2.12213e-01, 1.34121e+02, 1.34121e+02
13, 57, 7.21770e-01, 1.00193e+01, 7.48544e-01, 7.48544e-01, -1.40000e+01, 8.77193e-02, 2.14213e-01, 1.34121e+02, 1.34121e+02
14, 61, 7.72421e-01, 1.00280e+01, 8.41440e-01, 8.41440e-01, -1.40000e+01, 6.55738e-02, 2.47362e-01, 1.34121e+02, 1.34121e+02
15, 65, 8.23072e-01, 1.00217e+01, 8.41440e-01, 8.41440e-01, -1.40000e+01, 6.15385e-02, 2.26011e-01, 1.34121e+02, 1.34121e+02
16, 69, 8.73722e-01, 1.00263e+01, 8.87887e-01, 8.87887e-01, -1.40000e+01, 5.79710e-02, 2.75281e-01, 1.34121e+02, 1.34121e+02
17, 73, 9.24373e-01, 1.00188e+01, 9.34335e-01, 9.34335e-01, -1.40000e+01, 5.47945e-02, 2.70825e-01, 1.34121e+02, 1.34121e+02
18, 79, 1.00035e+00, 9.99419e+00, 9.69171e-01, 9.69171e-01, -1.40000e+01, 7.59494e-02, 2.48827e-01, 1.34121e+02, 1.34121e+02
19, 83, 1.05100e+00, 9.97806e+00, 8.64664e-01, 8.64664e-01, -1.40000e+01, 4.81928e-02, 2.90443e-01, 1.34121e+02, 1.34121e+02
20, 87, 1.10165e+00, 9.96479e+00, 9.11111e-01, 9.11111e-01, -1.40000e+01, 4.59770e-02, 2.72577e-01, 1.34121e+02, 1.34121e+02
21, 92, 1.16496e+00, 9.95290e+00, 9.57559e-01, 9.57559e-01, -1.40000e+01, 6.52174e-02, 3.02996e-01, 1.34121e+02, 1.34121e+02
22, 96, 1.21561e+00, 9.94276e+00, 1.01562e+00, 1.01562e+00, -1.40000e+01, 1.04167e-01, 2.59204e-01, 1.34121e+02, 1.34121e+02
23, 101, 1.27893e+00, 9.91046e+00, 1.00674e+00, 1.00674e+00, -1.40000e+01, 1.38614e-01, 2.83087e-01, 1.34121e+02, 1.34121e+02
24, 105, 1.32958e+00, 9.90125e+00, 1.04158e+00, 1.04158e+00, -1.40000e+01, 1.42857e-01, 3.18939e-01, 1.34121e+02, 1.34121e+02
25, 108, 1.36757e+00, 9.88180e+00, 1.14609e+00, 1.14609e+00, -1.40000e+01, 1.57407e-01, 2.79864e-01, 1.34121e+02, 1.34121e+02
26, 113, 1.43088e+00, 9.87495e+00, 1.22737e+00, 1.22737e+00, -1.40000e+01, 1.85841e-01, 2.94799e-01, 1.34121e+02, 1.34121e+02
27, 116, 1.46887e+00, 9.85920e+00, 1.28543e+00, 1.28543e+00, -1.40000e+01, 1.63793e-01, 3.30159e-01, 1.34121e+02, 1.34121e+02
28, 120, 1.51952e+00, 9.84827e+00, 1.44800e+00, 1.44800e+00, -1.40000e+01, 1.83333e-01, 3.48358e-01, 1.34121e+02, 1.34121e+02
29, 125, 1.58283e+00, 9.83891e+00, 1.56411e+00, 1.56411e+00, -1.40000e+01, 2.08000e-01, 3.52742e-01, 1.34121e+02, 1.34121e+02
30, 128, 1.62082e+00, 9.83827e+00, 1.57573e+00, 1.57573e+00, -1.40000e+01, 2.03125e-01, 3.37430e-01, 1.34121e+02, 1.34121e+02
