controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 1.26626e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, 0.00000e+00, 1.00000e+00, 2.62472e-03, 1.43909e-01, 1.43909e-01
1, 5, 6.33132e-02, 1.01332e+01, 8.12834e-02, 8.12834e-02, 0.00000e+00, 8.00000e-01, 1.34483e-02, 1.43909e-01, 1.43909e-01
2, 9, 1.13964e-01, 1.01042e+01, 1.18855e-01, 1.18855e-01, 0.00000e+00, 4.44444e-01, 2.75859e-02, 1.43909e-01, 1.43909e-01
3, 14, 1.77277e-01, 1.00710e+01, 1.76914e-01, 1.76914e-01, 0.00000e+00, 3.57143e-01, 4.64680e-02, 1.43909e-01, 1.43909e-01
4, 17, 2.15265e-01, 1.00632e+01, 2.11750e-01, 2.11750e-01, 0.00000e+00, 1.76471e-01, 7.04499e-02, 1.43909e-01, 1.43909e-01
5, 20, 2.53253e-01, 1.00579e+01, 2.23362e-01, 2.23362e-01, 0.00000e+00, 1.50000e-01, 9.12131e-02, 1.43909e-01, 1.43909e-01
6, 26, 3.29229e-01, 1.00374e+01, 3.18903e-01, 3.18903e-01, 0.00000e+00, 2.30769e-01, 1.27386e-01, 1.43909e-01, 1.43909e-01
7, 31, 3.92542e-01, 1.00327e+01, 4.00187e-01, 4.00187e-01, 0.00000e+00, 1.61290e-01, 1.69896e-01, 1.43909e-01, 1.43909e-01
8, 34, 4.30530e-01, 1.00398e+01, 4.11799e-01, 4.11799e-01, 0.00000e+00, 8.82353e-02, 1.87804e-01, 1.43909e-01, 1.43909e-01
9, 39, 4.93843e-01, 1.00350e+01, 4.93082e-01, 4.93082e-01, 0.00000e+00, 1.28205e-01, 1.91963e-01, 1.43909e-01, 1.43909e-01
10, 42, 5.31831e-01, 1.00392e+01, 5.04694e-01, 5.04694e-01, 0.00000e+00, 7.14286e-02, 1.95415e-01, 1.43909e-01, 1.43909e-01
11, 46, 5.82481e-01, 1.00339e+01, 5.27918e-01, 5.27918e-01, 0.00000e+00, 8.69565e-02, 1.97962e-01, 1.43909e-01, 1.43909e-01
12, 52, 6.58457e-01, 1.00262e+01, 6.90485e-01, 6.90485e-01, 0.00000e+00, 1.15385e-01, 2.12213e-01, 1.43909e-01, 1.43909e-01
13, 57, 7.21770e-01, 1.00193e+01, 7.48544e-01, 7.48544e-01, 0.00000e+00, 8.77193e-02, 2.14213e-01, 1.43909e-01, 1.43909e-01
14, 61, 7.72421e-01, 1.00280e+01, 8.41440e-01, 8.41440e-01, 0.00000e+00, 6.55738e-02, 2.47362e-01, 1.43909e-01, 1.43909e-01
15, 65, 8.23072e-01, 1.00217e+01, 8.41440e-01, 8.41440e-01, 0.00000e+00, 6.15385e-02, 2.26011e-01, 1.43909e-01, 1.43909e-01
16, 69, 8.73722e-01, 1.00272e+01, 8.87887e-01, 8.87887e-01, 0.00000e+00, 5.79710e-02, 2.75969e-01, 1.43909e-01, 1.43909e-01
17, 73, 9.24373e-01, 1.00232e+01, 8.99499e-01, 8.99499e-01, 0.00000e+00, 5.47945e-02, 2.74565e-01, 1.43909e-01, 1.43909e-01
18, 79, 1.00035e+00, 1.00064e+01, 8.99499e-01, 8.99499e-01, 0.00000e+00, 7.59494e-02, 2.64444e-01, 1.43909e-01, 1.43909e-01
19, 83, 1.05100e+00, 9.99999e+00, 9.11111e-01, 9.11111e-01, 0.00000e+00, 4.81928e-02, 2.88365e-01, 1.43909e-01, 1.43909e-01
20, 87, 1.10165e+00, 9.99037e+00, 1.01562e+00, 1.01562e+00, 0.00000e+00, 4.59770e-02, 2.79781e-01, 1.43909e-01, 1.43909e-01
21, 92, 1.16496e+00, 9.98669e+00, 1.05045e+00, 1.05045e+00, 0.00000e+00, 6.52174e-02, 3.23975e-01, 1.43909e-01, 1.43909e-01
22, 96, 1.21561e+00, 9.97615e+00, 1.07368e+00, 1.07368e+00, 0.00000e+00, 6.25000e-02, 2.95647e-01, 1.43909e-01, 1.43909e-01
23, 101, 1.27893e+00, 9.94960e+00, 1.07641e+00, 1.07641e+00, 0.00000e+00, 8.91089e-02, 3.06331e-01, 1.43909e-01, 1.43909e-01
24, 105, 1.32958e+00, 9.94403e+00, 1.01835e+00, 1.01835e+00, 0.00000e+00, 8.57143e-02, 3.22108e-01, 1.43909e-01, 1.43909e-01
25, 108, 1.36757e+00, 9.93459e+00, 1.11125e+00, 1.11125e+00, 0.00000e+00, 8.33333e-02, 2.96002e-01, 1.43909e-01, 1.43909e-01
26, 113, 1.43088e+00, 9.92698e+00, 1.12286e+00, 1.12286e+00, 0.00000e+00, 1.23894e-01, 3.30527e-01, 1.43909e-01, 1.43909e-01
27, 116, 1.46887e+00, 9.91163e+00, 1.22737e+00, 1.22737e+00, 0.00000e+00, 1.12069e-01, 3.17584e-01, 1.43909e-01, 1.43909e-01
28, 119, 1.50685e+00, 9.91718e+00, 1.32026e+00, 1.32026e+00, 0.00000e+00, 1.17647e-01, 3.31372e-01, 1.43909e-01, 1.43909e-01
29, 124, 1.57017e+00, 9.90850e+00, 1.44800e+00, 1.44800e+00, 0.00000e+00, 1.37097e-01, 3.73113e-01, 1.43909e-01, 1.43909e-01
30, 127, 1.60816e+00, 9.91046e+00, 1.45961e+00, 1.45961e+00, 0.00000e+00, 1.49606e-01, 3.71846e-01, 1.43909e-01, 1.43909e-01
31, 133, 1.68413e+00, 9.87467e+00, 1.72668e+00, 1.72668e+00, 0.00000e+00, 1.65414e-01, 3.42844e-01, 1.43909e-01, 1.43909e-01
32, 138, 1.74744e+00, 9.85210e+00, 1.78474e+00, 1.78474e+00, 0.00000e+00, 1.66667e-01, 3.47960e-01, 1.43909e-01, 1.43909e-01
33, 141, 1.78543e+00, 9.81776e+00, 1.77313e+00, 1.77313e+00, 0.00000e+00, 1.84397e-01, 3.30418e-01, 1.43909e-01, 1.43909e-01
34, 146, 1.84875e+00, 9.78241e+00, 1.87764e+00, 1.87764e+00, 0.00000e+00, 2.12329e-01, 3.40263e-01, 1.43909e-01, 1.43909e-01
35, 150, 1.89940e+00, 9.75470e+00, 1.83119e+00, 1.83119e+00, 0.00000e+00, 2.20000e-01, 3.84581e-01, 1.43909e-01, 1.43909e-01
36, 155, 1.96271e+00, 9.75471e+00, 2.01357e+00, 2.01357e+00, 0.00000e+00, 2.45161e-01, 3.99424e-01, 1.43909e-01, 1.43909e-01
37, 159, 2.01336e+00, 9.74663e+00, 2.19936e+00, 2.19936e+00, 0.00000e+00, 2.51572e-01, 3.85508e-01, 1.43909e-01, 1.43909e-01
38, 162, 2.05135e+00, 9.73476e+00, 2.36193e+00, 2.36193e+00, 0.00000e+00, 2.65432e-01, 4.23785e-01, 1.43909e-01, 1.43909e-01
39, 167, 2.11466e+00, 9.69607e+00, 2.33871e+00, 2.33871e+00, 0.00000e+00, 2.99401e-01, 3.88396e-01, 1.43909e-01, 1.43909e-01
40, 171, 2.16531e+00, 9.66011e+00, 2.40838e+00, 2.40838e+00, 0.00000e+00, 3.04094e-01, 4.05124e-01, 1.43909e-01, 1.43909e-01
41, 177, 2.24129e+00, 9.65334e+00, 2.54772e+00, 2.54772e+00, 0.00000e+00, 3.33333e-01, 4.18653e-01, 1.43909e-01, 1.43909e-01
42, 181, 2.29194e+00, 9.64446e+00, 2.48966e+00, 2.48966e+00, 0.00000e+00, 3.31492e-01, 4.86624e-01, 1.43909e-01, 1.43909e-01
43, 185, 2.34259e+00, 9.63399e+00, 2.52450e+00, 2.52450e+00, 0.00000e+00, 3.29730e-01, 4.75646e-01, 1.43909e-01, 1.43909e-01
44, 187, 2.36791e+00, 9.64365e+00, 2.84963e+00, 2.84963e+00, 0.00000e+00, 3.42246e-01, 4.81218e-01, 1.43909e-01, 1.43909e-01
45, 192, 2.43123e+00, 9.63395e+00, 2.97736e+00, 2.97736e+00, 0.00000e+00, 3.48958e-01, 4.67194e-01, 1.43909e-01, 1.43909e-01
46, 196, 2.48188e+00, 9.63622e+00, 3.07026e+00, 3.07026e+00, 0.00000e+00, 3.46939e-01, 5.42362e-01, 1.43909e-01, 1.43909e-01
47, 201, 2.54519e+00, 9.64078e+00, 3.42682e+00, 3.42682e+00, 0.00000e+00, 3.53234e-01, 5.37998e-01, 1.43909e-01, 1.43909e-01
48, 205, 2.59584e+00, 9.62554e+00, 3.54430e+00, 3.54430e+00, 0.00000e+00, 3.60976e-01, 5.23974e-01, 1.43909e-01, 1.43909e-01
49, 209, 2.64649e+00, 9.59658e+00, 3.69458e+00, 3.69458e+00, 0.00000e+00, 3.58852e-01, 4.82865e-01, 1.43909e-01, 1.43909e-01
50, 212, 2.68448e+00, 9.59315e+00, 3.72941e+00, 3.72941e+00, 0.00000e+00, 3.58491e-01, 5.48094e-01, 1.43909e-01, 1.43909e-01
51, 216, 2.73513e+00, 9.55477e+00, 3.72941e+00, 3.72941e+00, 0.00000e+00, 3.61111e-01, 4.94781e-01, 1.43909e-01, 1.43909e-01
52, 219, 2.77312e+00, 9.52838e+00, 3.74102e+00, 3.74102e+00, 0.00000e+00, 3.83562e-01, 5.47583e-01, 1.43909e-01, 1.43909e-01
53, 226, 2.86176e+00, 9.49731e+00, 3.97326e+00, 3.97326e+00, 0.00000e+00, 4.02655e-01, 5.79667e-01, 1.43909e-01, 1.43909e-01
54, 229, 2.89974e+00, 9.47118e+00, 4.22872e+00, 4.22872e+00, 0.00000e+00, 4.06114e-01, 5.07673e-01, 1.43909e-01, 1.43909e-01
55, 233, 2.95039e+00, 9.47681e+00, 4.54157e+00, 4.54157e+00, 0.00000e+00, 4.12017e-01, 5.60813e-01, 1.43909e-01, 1.43909e-01
56, 238, 3.01371e+00, 9.45909e+00, 4.77380e+00, 4.77380e+00, 0.00000e+00, 4.28571e-01, 5.40673e-01, 1.43909e-01, 1.43909e-01
57, 242, 3.06436e+00, 9.44705e+00, 4.75058e+00, 4.75058e+00, 0.00000e+00, 4.38017e-01, 6.17633e-01, 1.43909e-01, 1.43909e-01
58, 248, 3.14033e+00, 9.42875e+00, 5.24989e+00, 5.24989e+00, 0.00000e+00, 4.67742e-01, 5.89024e-01, 1.43909e-01, 1.43909e-01
59, 252, 3.19099e+00, 9.40916e+00, 4.94798e+00, 4.94798e+00, 0.00000e+00, 4.68254e-01, 6.06497e-01, 1.43909e-01, 1.43909e-01
60, 254, 3.21631e+00, 9.40850e+00, 0.00000e+00, 0.00000e+00, 4.20000e+01, 4.76378e-01, 6.27651e-01, 8.43337e-02, 8.43337e-02
61, 259, 3.27962e+00, 9.40845e+00, 5.63414e+00, 5.63414e+00, 4.20000e+01, 4.90347e-01, 5.91513e-01, 8.43337e-02, 8.43337e-02
62, 264, 3.34294e+00, 9.40304e+00, 5.66897e+00, 5.66897e+00, 4.20000e+01, 4.88636e-01, 6.79988e-01, 8.43337e-02, 8.43337e-02
63, 266, 3.36826e+00, 9.38282e+00, 5.44835e+00, 5.44835e+00, 4.20000e+01, 4.84962e-01, 6.94023e-01, 8.43337e-02, 8.43337e-02
64, 270, 3.41891e+00, 9.38713e+00, 5.98250e+00, 5.98250e+00, 4.20000e+01, 4.92593e-01, 6.74695e-01, 8.43337e-02, 8.43337e-02
65, 276, 3.49489e+00, 9.35684e+00, 6.06514e+00, 6.06514e+00, 4.20000e+01, 5.07246e-01, 7.10910e-01, 8.43337e-02, 8.43337e-02
66, 279, 3.53288e+00, 9.35503e+00, 6.47156e+00, 6.47156e+00, 4.20000e+01, 4.94624e-01, 6.62243e-01, 8.43337e-02, 8.43337e-02
67, 284, 3.59619e+00, 9.18917e+00, 3.27314e+00, 3.27314e+00, 4.20000e+01, 2.71127e-01, 7.87872e-01, 8.43337e-02, 8.43337e-02
68, 287, 3.63418e+00, 9.28867e+00, 3.28475e+00, 3.28475e+00, 4.20000e+01, 1.67247e-01, 8.87631e-01, 8.43337e-02, 8.43337e-02
69, 290, 3.67217e+00, 9.31599e+00, 3.55182e+00, 3.55182e+00, 4.20000e+01, 1.27586e-01, 9.43499e-01, 8.43337e-02, 8.43337e-02
70, 289, 3.65950e+00, 9.43148e+00, 3.49069e+00, 3.49069e+00, 4.20000e+01, 1.07266e-01, 1.04110e+00, 8.43337e-02, 8.43337e-02
71, 293, 3.71015e+00, 9.48930e+00, 3.24684e+00, 3.24684e+00, 4.20000e+01, 1.16041e-01, 1.14775e+00, 8.43337e-02, 8.43337e-02
