controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, 7.20000e+01, 1.00000e+00, 2.62472e-03
1, 4, 1.26813e-01, 1.01780e+01, 2.18360e-01, 2.18360e-01, 7.20000e+01, 7.50000e-01, 1.08652e-02
2, 8, 2.53627e-01, 1.01360e+01, 2.84973e-01, 2.84973e-01, 7.20000e+01, 5.00000e-01, 2.53636e-02
3, 11, 3.48737e-01, 1.01133e+01, 3.39562e-01, 3.39562e-01, 7.20000e+01, 2.72727e-01, 4.17325e-02
4, 15, 4.75550e-01, 1.00926e+01, 5.57922e-01, 5.57922e-01, 7.20000e+01, 2.66667e-01, 6.06980e-02
5, 18, 5.70660e-01, 1.00781e+01, 7.21692e-01, 7.21692e-01, 7.20000e+01, 1.66667e-01, 7.79473e-02
6, 22, 6.97474e-01, 1.00588e+01, 1.10382e+00, 1.10382e+00, 7.20000e+01, 1.81818e-01, 1.05964e-01
7, 26, 8.24287e-01, 1.00451e+01, 1.16963e+00, 1.16963e+00, 7.20000e+01, 1.53846e-01, 1.37935e-01
8, 29, 9.19397e-01, 1.00453e+01, 1.22422e+00, 1.22422e+00, 7.20000e+01, 1.03448e-01, 1.43914e-01
9, 32, 1.01451e+00, 1.00580e+01, 1.49717e+00, 1.49717e+00, 7.20000e+01, 9.37500e-02, 1.70389e-01
10, 35, 1.10962e+00, 1.00513e+01, 1.55176e+00, 1.55176e+00, 7.20000e+01, 8.57143e-02, 1.68587e-01
11, 38, 1.20473e+00, 1.00429e+01, 1.77012e+00, 1.77012e+00, 7.20000e+01, 7.89474e-02, 1.63427e-01
12, 41, 1.29984e+00, 1.00363e+01, 1.98848e+00, 1.98848e+00, 7.20000e+01, 9.75610e-02, 1.54453e-01
13, 46, 1.45835e+00, 9.97783e+00, 2.20684e+00, 2.20684e+00, 7.20000e+01, 1.30435e-01, 1.58657e-01
14, 50, 1.58517e+00, 9.96339e+00, 2.47979e+00, 2.47979e+00, 7.20000e+01, 1.00000e-01, 1.95016e-01
15, 53, 1.68028e+00, 9.95186e+00, 2.80733e+00, 2.80733e+00, 7.20000e+01, 1.32075e-01, 1.92494e-01
16, 56, 1.77539e+00, 9.93823e+00, 2.69815e+00, 2.69815e+00, 7.20000e+01, 1.60714e-01, 1.86518e-01
17, 60, 1.90220e+00, 9.91426e+00, 3.02569e+00, 3.02569e+00, 7.20000e+01, 1.66667e-01, 1.89523e-01
18, 63, 1.99731e+00, 9.88641e+00, 3.57159e+00, 3.57159e+00, 7.20000e+01, 1.58730e-01, 1.95130e-01
19, 68, 2.15583e+00, 9.86066e+00, 4.44503e+00, 4.44503e+00, 7.20000e+01, 2.20588e-01, 2.20499e-01
20, 71, 2.25094e+00, 9.83161e+00, 5.03349e+00, 5.03349e+00, 7.20000e+01, 1.97183e-01, 2.04159e-01
21, 75, 2.37775e+00, 9.79087e+00, 5.03349e+00, 5.03349e+00, 7.20000e+01, 2.40000e-01, 2.39888e-01
22, 78, 2.47286e+00, 9.76753e+00, 4.92431e+00, 4.92431e+00, 7.20000e+01, 2.30769e-01, 2.11317e-01
23, 82, 2.59968e+00, 9.73255e+00, 4.97890e+00, 4.97890e+00, 7.20000e+01, 2.31707e-01, 2.38991e-01
24, 85, 2.69479e+00, 9.72232e+00, 5.41562e+00, 5.41562e+00, 7.20000e+01, 2.94118e-01, 2.45077e-01
25, 88, 2.78990e+00, 9.71124e+00, 5.19726e+00, 5.19726e+00, 7.20000e+01, 2.84091e-01, 2.32298e-01
26, 88, 2.78990e+00, 9.70961e+00, 5.14267e+00, 5.14267e+00, 7.20000e+01, 3.29545e-01, 2.19976e-01
27, 91, 2.88501e+00, 9.66451e+00, 5.14267e+00, 5.14267e+00, 7.20000e+01, 3.29670e-01, 2.45823e-01
28, 94, 2.98012e+00, 9.67186e+00, 5.52480e+00, 5.52480e+00, 7.20000e+01, 3.61702e-01, 2.86291e-01
29, 96, 3.04352e+00, 9.65368e+00, 5.85234e+00, 5.85234e+00, 7.20000e+01, 3.75000e-01, 2.52803e-01
30, 101, 3.20204e+00, 9.64392e+00, 6.61660e+00, 6.61660e+00, 7.20000e+01, 4.15842e-01, 3.05211e-01
31, 104, 3.29715e+00, 9.61730e+00, 6.61660e+00, 6.61660e+00, 7.20000e+01, 3.94231e-01, 3.11985e-01
32, 107, 3.39226e+00, 9.57965e+00, 6.88955e+00, 6.88955e+00, 7.20000e+01, 4.11215e-01, 2.91753e-01
33, 110, 3.48737e+00, 9.56737e+00, 7.65381e+00, 7.65381e+00, 7.20000e+01, 4.09091e-01, 3.06829e-01
34, 112, 3.55078e+00, 9.54235e+00, 8.09053e+00, 8.09053e+00, 7.20000e+01, 4.55357e-01, 3.20654e-01
35, 115, 3.64589e+00, 9.52011e+00, 9.01856e+00, 9.01856e+00, 7.20000e+01, 4.52174e-01, 3.18211e-01
36, 118, 3.74100e+00, 9.50891e+00, 9.18233e+00, 9.18233e+00, 7.20000e+01, 4.66102e-01, 3.20666e-01
37, 121, 3.83611e+00, 9.50910e+00, 9.12774e+00, 9.12774e+00, 7.20000e+01, 4.71074e-01, 3.14327e-01
38, 124, 3.93122e+00, 9.47942e+00, 9.78282e+00, 9.78282e+00, 7.20000e+01, 4.83871e-01, 3.11000e-01
39, 128, 4.05803e+00, 9.46943e+00, 1.10930e+01, 1.10930e+01, 7.20000e+01, 4.84375e-01, 3.29678e-01
40, 130, 4.12144e+00, 9.45500e+00, 1.20756e+01, 1.20756e+01, 7.20000e+01, 5.07692e-01, 3.13653e-01
41, 134, 4.24825e+00, 9.43481e+00, 1.20210e+01, 1.20210e+01, 7.20000e+01, 5.14925e-01, 3.19089e-01
42, 137, 4.34336e+00, 9.43713e+00, 1.33858e+01, 1.33858e+01, 7.20000e+01, 5.32847e-01, 3.83054e-01
43, 140, 4.43847e+00, 9.41141e+00, 1.41500e+01, 1.41500e+01, 7.20000e+01, 5.50000e-01, 3.54772e-01
