controller=random horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -2.80000e+01, 1.00000e+00, 2.62472e-03, 2.18868e-04, 2.18868e-04
1, 3, 9.51101e-02, 1.01906e+01, 1.63770e-01, 1.63770e-01, -2.80000e+01, 6.66667e-01, 8.39284e-03, 2.18868e-04, 2.18868e-04
2, 5, 1.58517e-01, 1.01716e+01, 2.72950e-01, 2.72950e-01, -2.80000e+01, 4.00000e-01, 1.70218e-02, 2.18868e-04, 2.18868e-04
3, 8, 2.53627e-01, 1.01438e+01, 2.84973e-01, 2.84973e-01, -2.80000e+01, 3.75000e-01, 2.93581e-02, 2.18868e-04, 2.18868e-04
4, 10, 3.17034e-01, 1.01331e+01, 2.84973e-01, 2.84973e-01, -2.80000e+01, 2.00000e-01, 4.03678e-02, 2.18868e-04, 2.18868e-04
5, 13, 4.12144e-01, 1.01220e+01, 4.48742e-01, 4.48742e-01, -2.80000e+01, 2.30769e-01, 5.89196e-02, 2.18868e-04, 2.18868e-04
6, 15, 4.75550e-01, 1.01162e+01, 5.57922e-01, 5.57922e-01, -2.80000e+01, 1.33333e-01, 7.11124e-02, 2.18868e-04, 2.18868e-04
7, 18, 5.70660e-01, 1.01032e+01, 7.21692e-01, 7.21692e-01, -2.80000e+01, 1.66667e-01, 9.13438e-02, 2.18868e-04, 2.18868e-04
8, 20, 6.34067e-01, 1.01082e+01, 9.94641e-01, 9.94641e-01, -2.80000e+01, 1.00000e-01, 1.14680e-01, 2.18868e-04, 2.18868e-04
9, 22, 6.97474e-01, 1.01082e+01, 1.15841e+00, 1.15841e+00, -2.80000e+01, 9.09091e-02, 1.06162e-01, 2.18868e-04, 2.18868e-04
10, 25, 7.92584e-01, 1.00874e+01, 1.21300e+00, 1.21300e+00, -2.80000e+01, 1.20000e-01, 1.00296e-01, 2.18868e-04, 2.18868e-04
11, 27, 8.55991e-01, 1.00813e+01, 1.15841e+00, 1.15841e+00, -2.80000e+01, 7.40741e-02, 1.06616e-01, 2.18868e-04, 2.18868e-04
12, 30, 9.51101e-01, 1.00767e+01, 1.59513e+00, 1.59513e+00, -2.80000e+01, 1.00000e-01, 1.22035e-01, 2.18868e-04, 2.18868e-04
13, 32, 1.01451e+00, 1.00610e+01, 1.75890e+00, 1.75890e+00, -2.80000e+01, 6.25000e-02, 1.23907e-01, 2.18868e-04, 2.18868e-04
14, 34, 1.07791e+00, 1.00545e+01, 1.86808e+00, 1.86808e+00, -2.80000e+01, 8.82353e-02, 1.17117e-01, 2.18868e-04, 2.18868e-04
15, 36, 1.14132e+00, 1.00564e+01, 1.92267e+00, 1.92267e+00, -2.80000e+01, 8.33333e-02, 1.44131e-01, 2.18868e-04, 2.18868e-04
16, 40, 1.26813e+00, 1.00433e+01, 2.30480e+00, 2.30480e+00, -2.80000e+01, 1.75000e-01, 1.35936e-01, 2.18868e-04, 2.18868e-04
17, 41, 1.29984e+00, 1.00434e+01, 2.46857e+00, 2.46857e+00, -2.80000e+01, 1.21951e-01, 1.42619e-01, 2.18868e-04, 2.18868e-04
18, 43, 1.36324e+00, 1.00421e+01, 2.41398e+00, 2.41398e+00, -2.80000e+01, 1.39535e-01, 1.37300e-01, 2.18868e-04, 2.18868e-04
19, 47, 1.49006e+00, 1.00020e+01, 2.63234e+00, 2.63234e+00, -2.80000e+01, 1.70213e-01, 1.46790e-01, 2.18868e-04, 2.18868e-04
20, 49, 1.55346e+00, 9.97087e+00, 2.46857e+00, 2.46857e+00, -2.80000e+01, 1.42857e-01, 1.29803e-01, 2.18868e-04, 2.18868e-04
21, 52, 1.64857e+00, 9.94982e+00, 2.52316e+00, 2.52316e+00, -2.80000e+01, 1.92308e-01, 1.57219e-01, 2.18868e-04, 2.18868e-04
22, 53, 1.68028e+00, 9.92660e+00, 2.94786e+00, 2.94786e+00, -2.80000e+01, 2.26415e-01, 1.44105e-01, 2.18868e-04, 2.18868e-04
23, 55, 1.74368e+00, 9.90500e+00, 3.05704e+00, 3.05704e+00, -2.80000e+01, 2.54545e-01, 1.49372e-01, 2.18868e-04, 2.18868e-04
24, 58, 1.83879e+00, 9.88096e+00, 2.83868e+00, 2.83868e+00, -2.80000e+01, 2.93103e-01, 1.59722e-01, 2.18868e-04, 2.18868e-04
25, 59, 1.87050e+00, 9.87965e+00, 2.67491e+00, 2.67491e+00, -2.80000e+01, 3.22034e-01, 1.69890e-01, 2.18868e-04, 2.18868e-04
26, 62, 1.96561e+00, 9.85345e+00, 2.83868e+00, 2.83868e+00, -2.80000e+01, 3.38710e-01, 1.56019e-01, 2.18868e-04, 2.18868e-04
27, 62, 1.96561e+00, 9.85339e+00, 3.87588e+00, 3.87588e+00, -2.80000e+01, 3.54839e-01, 1.58780e-01, 2.18868e-04, 2.18868e-04
28, 65, 2.06072e+00, 9.84515e+00, 4.53096e+00, 4.53096e+00, -2.80000e+01, 3.84615e-01, 1.92267e-01, 2.18868e-04, 2.18868e-04
29, 68, 2.15583e+00, 9.82345e+00, 5.02227e+00, 5.02227e+00, -2.80000e+01, 3.67647e-01, 1.76235e-01, 2.18868e-04, 2.18868e-04
30, 71, 2.25094e+00, 9.81817e+00, 5.24063e+00, 5.24063e+00, -2.80000e+01, 4.08451e-01, 1.81834e-01, 2.18868e-04, 2.18868e-04
31, 72, 2.28264e+00, 9.82462e+00, 5.24063e+00, 5.24063e+00, -2.80000e+01, 3.88889e-01, 2.07852e-01, 2.18868e-04, 2.18868e-04
32, 75, 2.37775e+00, 9.80195e+00, 5.40440e+00, 5.40440e+00, -2.80000e+01, 3.86667e-01, 2.12413e-01, 2.18868e-04, 2.18868e-04
