controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.97253e-03, 1.01150e+01, -7.92000e+00, 0.00000e+00, -3.96000e+02, 1.00000e+00, 2.62472e-03
1, 3, 8.91759e-03, 1.01114e+01, -7.88516e+00, 3.48358e-02, -3.96000e+02, 6.66667e-01, 8.68214e-03
2, 5, 1.48627e-02, 1.01083e+01, -7.86194e+00, 5.80596e-02, -3.96000e+02, 4.00000e-01, 1.65850e-02
3, 7, 2.08077e-02, 1.01058e+01, -7.83872e+00, 8.12834e-02, -3.96000e+02, 2.85714e-01, 2.48128e-02
4, 9, 2.67528e-02, 1.01036e+01, -7.81549e+00, 1.04507e-01, -3.96000e+02, 2.22222e-01, 3.41245e-02
5, 12, 3.56704e-02, 1.01002e+01, -7.78066e+00, 1.39343e-01, -3.96000e+02, 2.50000e-01, 5.13378e-02
6, 14, 4.16154e-02, 1.00997e+01, -7.75743e+00, 1.62567e-01, -3.96000e+02, 1.42857e-01, 6.81033e-02
7, 16, 4.75605e-02, 1.00996e+01, -7.73421e+00, 1.85791e-01, -3.96000e+02, 1.25000e-01, 8.76703e-02
8, 18, 5.35056e-02, 1.00998e+01, -7.71099e+00, 2.09015e-01, -3.96000e+02, 1.11111e-01, 9.55549e-02
9, 20, 5.94506e-02, 1.00998e+01, -7.68776e+00, 2.32238e-01, -3.96000e+02, 1.00000e-01, 1.01415e-01
10, 22, 6.53957e-02, 1.00998e+01, -7.66454e+00, 2.55462e-01, -3.96000e+02, 9.09091e-02, 9.96303e-02
11, 25, 7.43133e-02, 1.00995e+01, -7.60648e+00, 3.13522e-01, -3.96000e+02, 1.20000e-01, 1.13973e-01
12, 27, 8.02583e-02, 1.00991e+01, -7.58325e+00, 3.36746e-01, -3.96000e+02, 7.40741e-02, 1.05916e-01
13, 29, 8.62034e-02, 1.00995e+01, -7.56003e+00, 3.59970e-01, -3.96000e+02, 6.89655e-02, 1.36487e-01
14, 32, 9.51210e-02, 1.00972e+01, -7.52519e+00, 3.94805e-01, -3.96000e+02, 9.37500e-02, 1.13869e-01
15, 34, 1.01066e-01, 1.00975e+01, -7.50197e+00, 4.18029e-01, -3.96000e+02, 5.88235e-02, 1.27197e-01
16, 36, 1.07011e-01, 1.00969e+01, -7.45552e+00, 4.64477e-01, -3.96000e+02, 5.55556e-02, 1.21418e-01
17, 38, 1.12956e-01, 1.00963e+01, -7.44391e+00, 4.76089e-01, -3.96000e+02, 5.26316e-02, 1.48579e-01
18, 40, 1.18901e-01, 1.00939e+01, -7.40908e+00, 5.10924e-01, -3.96000e+02, 5.00000e-02, 1.20885e-01
19, 42, 1.24846e-01, 1.00930e+01, -7.38585e+00, 5.34148e-01, -3.96000e+02, 4.76190e-02, 1.64706e-01
20, 44, 1.30791e-01, 1.00908e+01, -7.37424e+00, 5.45760e-01, -3.96000e+02, 4.54545e-02, 1.46924e-01
21, 47, 1.39709e-01, 1.00885e+01, -7.31618e+00, 6.03820e-01, -3.96000e+02, 8.51064e-02, 1.56177e-01
22, 49, 1.45654e-01, 1.00846e+01, -7.29296e+00, 6.27044e-01, -3.96000e+02, 8.16327e-02, 1.20779e-01
23, 52, 1.54572e-01, 1.00787e+01, -7.24651e+00, 6.73491e-01, -3.96000e+02, 1.53846e-01, 1.18378e-01
24, 54, 1.60517e-01, 1.00769e+01, -7.26973e+00, 6.50268e-01, -3.96000e+02, 1.29630e-01, 1.50057e-01
25, 56, 1.66462e-01, 1.00763e+01, -7.24651e+00, 6.73491e-01, -3.96000e+02, 1.60714e-01, 1.76946e-01
26, 58, 1.72407e-01, 1.00754e+01, -7.23490e+00, 6.85103e-01, -3.96000e+02, 1.89655e-01, 1.55138e-01
27, 60, 1.78352e-01, 1.00730e+01, -7.22328e+00, 6.96715e-01, -3.96000e+02, 2.16667e-01, 1.53961e-01
28, 62, 1.84297e-01, 1.00732e+01, -7.20006e+00, 7.19939e-01, -3.96000e+02, 2.09677e-01, 1.84495e-01
29, 64, 1.90242e-01, 1.00709e+01, -7.21167e+00, 7.08327e-01, -3.96000e+02, 2.03125e-01, 1.63709e-01
30, 66, 1.96187e-01, 1.00683e+01, -7.17684e+00, 7.43163e-01, -3.96000e+02, 1.96970e-01, 1.80410e-01
31, 68, 2.02132e-01, 1.00657e+01, -7.14200e+00, 7.77999e-01, -3.96000e+02, 1.91176e-01, 1.76021e-01
32, 71, 2.11050e-01, 1.00635e+01, -7.07233e+00, 8.47670e-01, -3.96000e+02, 2.25352e-01, 1.93373e-01
33, 73, 2.16995e-01, 1.00630e+01, -7.07233e+00, 8.47670e-01, -3.96000e+02, 2.19178e-01, 2.00070e-01
34, 75, 2.22940e-01, 1.00623e+01, -7.07233e+00, 8.47670e-01, -3.96000e+02, 2.53333e-01, 2.06774e-01
35, 77, 2.28885e-01, 1.00622e+01, -7.04911e+00, 8.70894e-01, -3.96000e+02, 2.46753e-01, 2.42933e-01
36, 80, 2.37802e-01, 1.00578e+01, -7.00266e+00, 9.17342e-01, -3.96000e+02, 2.50000e-01, 2.18752e-01
37, 82, 2.43748e-01, 1.00577e+01, -6.93299e+00, 9.87013e-01, -3.96000e+02, 2.31707e-01, 2.08072e-01
38, 84, 2.49693e-01, 1.00562e+01, -6.89815e+00, 1.02185e+00, -3.96000e+02, 2.38095e-01, 2.38996e-01
39, 86, 2.55638e-01, 1.00542e+01, -6.86332e+00, 1.05668e+00, -3.96000e+02, 2.32558e-01, 2.26720e-01
40, 88, 2.61583e-01, 1.00517e+01, -6.85170e+00, 1.06830e+00, -3.96000e+02, 2.50000e-01, 2.49950e-01
41, 91, 2.70500e-01, 1.00486e+01, -6.81687e+00, 1.10313e+00, -3.96000e+02, 2.63736e-01, 2.54271e-01
42, 93, 2.76445e-01, 1.00445e+01, -6.72397e+00, 1.19603e+00, -3.96000e+02, 2.58065e-01, 2.00590e-01
43, 95, 2.82390e-01, 1.00414e+01, -6.74720e+00, 1.17280e+00, -3.96000e+02, 2.73684e-01, 2.28894e-01
44, 97, 2.88335e-01, 1.00386e+01, -6.74720e+00, 1.17280e+00, -3.96000e+02, 2.78351e-01, 2.48415e-01
45, 99, 2.94281e-01, 1.00336e+01, -6.79364e+00, 1.12636e+00, -3.96000e+02, 3.03030e-01, 2.29751e-01
46, 101, 3.00226e-01, 1.00323e+01, -6.70075e+00, 1.21925e+00, -3.96000e+02, 3.06931e-01, 2.69877e-01
47, 103, 3.06171e-01, 1.00304e+01, -6.64269e+00, 1.27731e+00, -3.96000e+02, 3.20388e-01, 2.57727e-01
48, 105, 3.12116e-01, 1.00294e+01, -6.61946e+00, 1.30054e+00, -3.96000e+02, 3.14286e-01, 2.98328e-01
49, 107, 3.18061e-01, 1.00259e+01, -6.61946e+00, 1.30054e+00, -3.96000e+02, 3.17757e-01, 2.67860e-01
50, 110, 3.26978e-01, 1.00221e+01, -6.63108e+00, 1.28892e+00, -3.96000e+02, 3.27273e-01, 2.89518e-01
51, 112, 3.32923e-01, 1.00192e+01, -6.58463e+00, 1.33537e+00, -3.96000e+02, 3.30357e-01, 2.67628e-01
52, 114, 3.38869e-01, 1.00167e+01, -6.52657e+00, 1.39343e+00, -3.96000e+02, 3.59649e-01, 2.94829e-01
53, 116, 3.44814e-01, 1.00134e+01, -6.59624e+00, 1.32376e+00, -3.96000e+02, 3.62069e-01, 2.64104e-01
54, 119, 3.53731e-01, 1.00088e+01, -6.56141e+00, 1.35859e+00, -3.96000e+02, 3.86555e-01, 2.94440e-01
55, 121, 3.59676e-01, 1.00073e+01, -6.46851e+00, 1.45149e+00, -3.96000e+02, 3.80165e-01, 2.85402e-01
56, 123, 3.65621e-01, 1.00044e+01, -6.43367e+00, 1.48633e+00, -3.96000e+02, 3.90244e-01, 3.00500e-01
57, 125, 3.71566e-01, 1.00021e+01, -6.37561e+00, 1.54439e+00, -3.96000e+02, 4.00000e-01, 3.08772e-01
58, 127, 3.77511e-01, 9.99995e+00, -6.41045e+00, 1.50955e+00, -3.96000e+02, 4.01575e-01, 3.01049e-01
59, 130, 3.86429e-01, 9.99248e+00, -6.37561e+00, 1.54439e+00, -3.96000e+02, 4.07692e-01, 3.33519e-01
60, 131, 3.89402e-01, 9.99173e+00, -7.92000e+00, 0.00000e+00, -3.96000e+02, 3.96947e-01, 3.04247e-01
61, 133, 3.95347e-01, 9.98461e+00, -6.37561e+00, 1.54439e+00, -3.96000e+02, 4.21053e-01, 2.92541e-01
62, 135, 4.01292e-01, 9.98264e+00, -6.37561e+00, 1.54439e+00, -3.96000e+02, 4.37037e-01, 3.40524e-01
63, 138, 4.10209e-01, 9.97896e+00, -6.41045e+00, 1.50955e+00, -3.96000e+02, 4.34783e-01, 3.43756e-01
