controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.97253e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, -3.96000e+02, 1.00000e+00, 2.62472e-03
1, 2, 5.94506e-03, 1.01133e+01, 2.32238e-02, 2.32238e-02, -3.96000e+02, 5.00000e-01, 6.05742e-03
2, 3, 8.91759e-03, 1.01120e+01, 3.48358e-02, 3.48358e-02, -3.96000e+02, 3.33333e-01, 1.09480e-02
3, 4, 1.18901e-02, 1.01107e+01, 4.64477e-02, 4.64477e-02, -3.96000e+02, 2.50000e-01, 1.41544e-02
4, 6, 1.78352e-02, 1.01078e+01, 6.96715e-02, 6.96715e-02, -3.96000e+02, 3.33333e-01, 2.23693e-02
5, 7, 2.08077e-02, 1.01075e+01, 8.12834e-02, 8.12834e-02, -3.96000e+02, 1.42857e-01, 3.12318e-02
6, 8, 2.37802e-02, 1.01072e+01, 9.28954e-02, 9.28954e-02, -3.96000e+02, 1.25000e-01, 3.51211e-02
7, 9, 2.67528e-02, 1.01077e+01, 1.04507e-01, 1.04507e-01, -3.96000e+02, 1.11111e-01, 5.49190e-02
8, 11, 3.26978e-02, 1.01061e+01, 1.27731e-01, 1.27731e-01, -3.96000e+02, 1.81818e-01, 5.39880e-02
9, 12, 3.56704e-02, 1.01068e+01, 1.39343e-01, 1.39343e-01, -3.96000e+02, 8.33333e-02, 6.63442e-02
10, 13, 3.86429e-02, 1.01071e+01, 1.50955e-01, 1.50955e-01, -3.96000e+02, 7.69231e-02, 6.29538e-02
11, 15, 4.45880e-02, 1.01052e+01, 1.74179e-01, 1.74179e-01, -3.96000e+02, 1.33333e-01, 5.99952e-02
12, 16, 4.75605e-02, 1.01057e+01, 1.85791e-01, 1.85791e-01, -3.96000e+02, 6.25000e-02, 6.21952e-02
13, 17, 5.05330e-02, 1.01060e+01, 1.97403e-01, 1.97403e-01, -3.96000e+02, 5.88235e-02, 6.35427e-02
14, 18, 5.35056e-02, 1.01068e+01, 2.09015e-01, 2.09015e-01, -3.96000e+02, 5.55556e-02, 7.85494e-02
15, 19, 5.64781e-02, 1.01072e+01, 2.20626e-01, 2.20626e-01, -3.96000e+02, 5.26316e-02, 7.54045e-02
16, 20, 5.94506e-02, 1.01072e+01, 2.32238e-01, 2.32238e-01, -3.96000e+02, 5.00000e-02, 6.71269e-02
17, 22, 6.53957e-02, 1.01065e+01, 2.67074e-01, 2.67074e-01, -3.96000e+02, 9.09091e-02, 8.22233e-02
